"epcc_name","epcc_code","icd_9","icd_9_additional","icd_10","icd_10_additional","sts_name","section_name","section_seq"
"Diabetes mellitus,","14.03.90","250.0",,"E14",,"Other preoperative risk factor","Diagnostic codes for Preoperative Risk Factors",34
"Hypothyroidism,","14.03.52","244.9",,"E03.9",,"Other preoperative risk factor","Diagnostic codes for Preoperative Risk Factors",35
"Hyperthyroidism,","14.03.75","242.9",,"E05.9",,"Other preoperative risk factor","Diagnostic codes for Preoperative Risk Factors",36
"Smoking: tobacco use,","14.04.70","V15.8",,"Z72.0",,"Other preoperative risk factor","Diagnostic codes for Preoperative Risk Factors",37
"Codes for diagnostic procedures",,,,,,,"Codes for diagnostic procedures",1
"Clinical evaluation of patient,","13.00.01",,,,,,"Codes for diagnostic procedures",2
"Diagnostic investigation,","13.00.02",,,,,,"Codes for diagnostic procedures",3
"Electrocardiogram (ECG),","13.00.10",,,,,,"Codes for diagnostic procedures",4
"Ambulatory electrocardiography (ECG) recording,","13.00.17",,,,,,"Codes for diagnostic procedures",5
"24 hour electrocardiogram (ECG) recording,","13.00.11",,,,,,"Codes for diagnostic procedures",6
"Insertable electrocardiogram (ECG) loop recorder (e.g. Reveal) implantation,","13.00.14",,,,,,"Codes for diagnostic procedures",7
"Insertable electrocardiogram (ECG) loop recorder (e.g. Reveal) removal,","13.00.15",,,,,,"Codes for diagnostic procedures",8
"Arrhythmia provocation test,","13.00.50",,,,,,"Codes for diagnostic procedures",9
"Tilt table testing,","13.00.27",,,,,,"Codes for diagnostic procedures",10
"Exercise stress test,","13.00.13",,,,,,"Codes for diagnostic procedures",11
"Cardiopulmonary exercise stress test,","13.00.16",,,,,,"Codes for diagnostic procedures",12
"Ambulatory blood pressure monitoring,","13.00.36",,,,,,"Codes for diagnostic procedures",13
"Chest x-ray,","13.00.21",,,,,,"Codes for diagnostic procedures",14
"Echocardiographic examination,","13.01.00",,,,,,"Codes for diagnostic procedures",15
"Transthoracic echocardiographic examination,","13.01.02",,,,,"Echocardiography procedure, Sedated transthoracic echocardiogram","Codes for diagnostic procedures",16
"Transoesophageal echocardiographic examination,","13.01.03",,,,,"Echocardiography procedure, Sedated transesophageal echocardiogram","Codes for diagnostic procedures",17
"Epicardial echocardiographic examination,","13.01.04",,,,,,"Codes for diagnostic procedures",18
"Transluminal intracardiac echocardiographic examination,","13.01.24",,,,,,"Codes for diagnostic procedures",19
"Intravascular ultrasound (IVUS) examination,","13.01.27",,,,,,"Codes for diagnostic procedures",20
"Transluminal intracoronary echocardiography (IVUS),","12.23.41",,,,,,"Codes for diagnostic procedures",21
,,,,,,"Radiology procedure on cardiac patient, Cardiac Computerized Axial","Codes for diagnostic procedures",22
"Computerised tomographic scan of chest,","13.00.23",,,,,"Tomography (CT Scan)","Codes for diagnostic procedures",23
,,,,,,"Radiology procedure on cardiac patient, Non-Cardiac Computerized Tomography","Codes for diagnostic procedures",24
"Non-cardiac computed tomographic angiography on cardiac patient,","13.00.32",,,,,"(CT) on cardiac patient","Codes for diagnostic procedures",25
,,,,,,"Radiology procedure on cardiac patient, Cardiac Magnetic Resonance Imaging","Codes for diagnostic procedures",26
"Cardiovascular Magnetic Resonance Imaging (CMRI),","13.00.24",,,,,"(MRI)","Codes for diagnostic procedures",27
,,,,,,"Radiology procedure on cardiac patient, Non-cardiac Magnetic Resonance","Codes for diagnostic procedures",28
"Non-cardiovascular Magnetic Resonance Imaging on cardiac patient,","13.00.33",,,,,"Imaging (MRI) on cardiac patient","Codes for diagnostic procedures",29
"Myocardial perfusion scan,","13.00.31",,,,,,"Codes for diagnostic procedures",30
"Exploratory procedure to assess heart,","12.32.03",,,,,,"Codes for diagnostic procedures",31
"Post mortem examination of heart-lungs,","13.00.71",,,,,,"Codes for diagnostic procedures",32
"Pulmonary Function Tests,","13.00.25",,,,,,"Codes for diagnostic procedures",33
"Diagnostic cardiovascular catheterisation procedure,","13.05.01",,,,,,"Codes for diagnostic procedures",34
"Diagnostic radiographic procedure on cardiac patient,","13.00.34",,,,,"Radiology procedure on cardiac patient, Diagnostic radiology","Codes for diagnostic procedures",35
"Therapeutic radiological procedure on cardiac patient,","13.00.35",,,,,"Radiology procedure on cardiac patient, Therapeutic radiology","Codes for diagnostic procedures",36
"- with sedation,","Q5.85.30",,,,,,"Codes for diagnostic procedures",37
"Diagnostic qualifier codes",,,,,,,"Diagnostic qualifier codes",1
"- status: post-procedure,","Q1.90.51",,,,,,"Diagnostic qualifier codes",2
"- diagnosis uncertain,","Q1.90.67",,,,,,"Diagnostic qualifier codes",3
"- status: post heart transplant,","Q1.91.80",,,,,"Status post transplant, Heart","Diagnostic qualifier codes",4
"- status: post heart & lung(s) transplant,","Q1.91.81",,,,,"Status post transplant, Heart and lung","Diagnostic qualifier codes",5
"- status: post lung(s) transplant,","Q1.91.82",,,,,"Status post transplant, Lung","Diagnostic qualifier codes",6
"Codes for operations and interventions",,,,,,,"Codes for operations and interventions",1
"Medical therapy for cardiovascular disease,","17.00.01",,,,,,"Codes for operations and interventions",2
"Medical therapy for endocarditis,","17.10.02",,,,,,"Codes for operations and interventions",3
"Cardiopulmonary bypass used during procedure,","12.00.90",,,,,,"Codes for operations and interventions",4
"Cardiopulmonary bypass not used during procedure,","12.00.91",,,,,,"Codes for operations and interventions",5
"Reoperation,","12.43.00",,,,,,"Codes for operations and interventions",6
"Unplanned reoperation during current admission,","15.43.06",,,,,"Reoperation during this admission (unplanned reoperation)","Codes for operations and interventions",7
"Cardiopulmonary bypass for non-cardiac lesion,","12.00.92",,,,,"Bypass for non-cardiac lesion","Codes for operations and interventions",8
"Thoracoscopic approach (VATS),","12.40.06",,,,,"VATS (video assisted thoracoscopic surgery)","Codes for operations and interventions",9
"Minimally invasive procedure,","12.40.13",,,,,"Minimally invasive procedure","Codes for operations and interventions",10
"Robotic surgical approach,","12.40.15",,,,,"Minimally invasive procedure","Codes for operations and interventions",11
"Median sternotomy: redo x 1-3,","12.40.29",,,,,,"Codes for operations and interventions",12
"Median sternotomy: redo x 4 or more,","12.40.30",,,,,,"Codes for operations and interventions",13
"Thoracotomy,","12.40.00",,,,,"Thoracotomy, Other","Codes for operations and interventions",14
"Thoracotomy: redo,","12.40.16",,,,,"Thoracotomy, Other","Codes for operations and interventions",15
"Cardiac incision,","12.40.99",,,,,"Cardiotomy, Other","Codes for operations and interventions",16
"- transatrial approach,","Q5.08.11",,,,,,"Codes for operations and interventions",17
"- trans-right ventricular approach,","Q5.08.13",,,,,,"Codes for operations and interventions",18
"Great vein procedures",,,,,,,"Great vein procedures",1
"Pulmonary vein procedure,","12.00.20",,,,,"Cardiac procedure, Other","Great vein procedures",2
"Totally anomalous pulmonary venous connection repair,","12.00.00",,,,,"TAPVC repair","Great vein procedures",3
"Partially anomalous pulmonary venous connection repair,","12.00.02",,,,,"PAPVC repair","Great vein procedures",4
"Scimitar syndrome (partially anomalous pulmonary venous connection) repair,","12.00.17",,,,,"PAPVC, Scimitar, Repair","Great vein procedures",5
,,,,,,"PAPVC repair, Baffle redirection to left atrium with systemic vein translocation","Great vein procedures",6
"Partially anomalous pulmonary venous connection repair: baffle redirection to left atrium & systemic vein translocated to right atrial appendage (Warden),","12.00.78",,,,,"(Warden) (SVC sewn to right atrial appendage)","Great vein procedures",7
"Pulmonary vein stenosis repair,","12.00.03",,,,,"Pulmonary venous stenosis repair","Great vein procedures",8
"Pulmonary venous pathway procedure (post Senning-Mustard),","12.29.52",,,,,"Cardiac procedure, Other","Great vein procedures",9
"Systemic vein procedure,","12.00.30",,,,,"Cardiac procedure, Other","Great vein procedures",10
"Superior caval vein (SVC) procedure,","12.00.39",,,,,"Cardiac procedure, Other","Great vein procedures",11
"Inferior caval vein (IVC) procedure,","12.00.42",,,,,"Cardiac procedure, Other","Great vein procedures",12
"Anomalous systemic venous connection repair,","12.00.81",,,,,"Anomalous systemic venous connection repair","Great vein procedures",13
"Systemic venous stenosis repair,","12.00.83",,,,,"Systemic venous stenosis repair","Great vein procedures",14
"Systemic venous pathway procedure (post Senning-Mustard),","12.00.29",,,,,"Cardiac procedure, Other","Great vein procedures",15
"Coronary sinus procedure,","12.00.50",,,,,"Cardiac procedure, Other","Great vein procedures",16
"Atrial Procedures",,,,,,,"Atrial Procedures",1
"Right atrial procedure,","12.01.60",,,,,"Cardiac procedure, Other","Atrial Procedures",2
"Left atrial procedure,","12.01.30",,,,,"Cardiac procedure, Other","Atrial Procedures",3
"Cor triatriatum (divided left atrium) repair,","12.01.31",,,,,"Cor triatriatum repair","Atrial Procedures",4
"Patent foramen ovale (PFO) direct closure,","12.01.53",,,,,"PFO, primary closure","Atrial Procedures",5
"Interatrial communication closure,","12.01.00",,,,,"ASD repair","Atrial Procedures",6
"Atrial septal defect (ASD) secundum closure,","12.01.01",,,,,"ASD repair","Atrial Procedures",7
"Atrial septal defect (ASD) secundum closure with direct suture,","12.01.02",,,,,"ASD repair, Primary closure","Atrial Procedures",8
"Atrial septal defect (ASD) secundum closure with patch,","12.01.03",,,,,"ASD repair, Patch","Atrial Procedures",9
"Sinus venosus defect (ASD) closure,","12.01.10",,,,,"ASD repair","Atrial Procedures",10
"Interatrial communication closure: partial,","12.01.08",,,,,"ASD partial closure","Atrial Procedures",11
"Coronary sinus interatrial communication (ASD) repair,","12.00.55",,,,,"ASD repair","Atrial Procedures",12
"Atrial fenestration closure,","12.30.41",,,,,"Atrial fenestration closure","Atrial Procedures",13
"Interatrial communication creation-enlargement,","12.01.90",,,,,"ASD creation-enlargement","Atrial Procedures",14
"Atrial septectomy: closed (Blalock Hanlon),","12.01.42",,,,,"ASD creation-enlargement","Atrial Procedures",15
"Atrial septectomy,","12.01.43",,,,,"ASD creation-enlargement","Atrial Procedures",16
"Fenestration of atrial septum,","12.30.20",,,,,"Atrial septal fenestration","Atrial Procedures",17
"Atrial septation procedure,","12.01.22",,,,,"ASD, Common atrium (single atrium), Septation","Atrial Procedures",18
"Atrial baffle procedure,","12.01.57",,,,,"Atrial baffle procedure (non-Mustard, non-Senning)","Atrial Procedures",19
"Interatrial communication left open,","12.01.80",,,,,,"Atrial Procedures",20
"Atrioventricuolar valvar & atrioventricular septal defect procedures",,,,,,,"Atrioventricuolar valvar & atrioventricular septal defect procedures",1
"Atrioventricular valvar repair,","12.90.01",,,,,"Cardiac procedure, Other","Atrioventricuolar valvar & atrioventricular septal defect procedures",2
"Tricuspid valvar procedure,","12.02.00",,,,,"Valve surgery, Other, Tricuspid","Atrioventricuolar valvar & atrioventricular septal defect procedures",3
"Tricuspid valvar annuloplasty,","12.02.04",,,,,"Valve surgery, Other, Tricuspid","Atrioventricuolar valvar & atrioventricular septal defect procedures",4
"Tricuspid leaflet (valvoplasty) procedure,","12.02.02",,,,,"Valvuloplasty, Tricuspid","Atrioventricuolar valvar & atrioventricular septal defect procedures",5
"Tricuspid valvar replacement,","12.02.11",,,,,"Valve replacement, Tricuspid (TVR)","Atrioventricuolar valvar & atrioventricular septal defect procedures",6
"Tricuspid valve repair converted to tricuspid valvar replacement,","12.02.83",,,,,"Valvuloplasty converted to valve replacement in the same operation, Tricuspid","Atrioventricuolar valvar & atrioventricular septal defect procedures",7
"Tricuspid valvar closure,","12.02.70",,,,,"Valve closure, Tricuspid (exclusion, univentricular approach)","Atrioventricuolar valvar & atrioventricular septal defect procedures",8
"Tricuspid valvectomy,","12.02.22",,,,,"Valve excision, Tricuspid (without replacement)","Atrioventricuolar valvar & atrioventricular septal defect procedures",9
"Ebstein's malformation of tricuspid valve repair,","12.02.09",,,,,"Ebstein's repair","Atrioventricuolar valvar & atrioventricular septal defect procedures",10
"Mitral valvar procedure,","12.03.00",,,,,"Valve surgery, Other, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures",11
"Mitral valvar annuloplasty,","12.03.04",,,,,"Valve surgery, Other, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures",12
"Mitral leaflet (valvoplasty) procedure,","12.03.03",,,,,"Valvuloplasty, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures",13
"Mitral valvotomy,","12.03.01",,,,,"Valve surgery, Other, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures",14
"Mitral valvar replacement,","12.03.11",,,,,"Valve replacement, Mitral (MVR)","Atrioventricuolar valvar & atrioventricular septal defect procedures",15
"Mitral valve repair converted to mitral valvar replacement,","12.03.84",,,,,"Valvuloplasty converted to valve replacement in the same operation, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures",16
"Supra-mitral valvar LA-ring excision,","12.01.32",,,,,"Mitral stenosis, Supravalvar mitral ring repair","Atrioventricuolar valvar & atrioventricular septal defect procedures",17
"Mitral subvalvar apparatus procedure,","12.03.19",,,,,"Valve surgery, Other, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures",18
"Atrioventricular valvar procedure in double inlet ventricle,","12.46.00",,,,,"Cardiac procedure, Other","Atrioventricuolar valvar & atrioventricular septal defect procedures",19
"Atrioventricular septal defect procedure,","12.04.00",,,,,"AVC (AVSD) repair","Atrioventricuolar valvar & atrioventricular septal defect procedures",20
"Atrioventricular septal defect (AVSD): partial (primum ASD) repair,","12.04.01",,,,,"AVC (AVSD) repair, Partial (Incomplete) (PAVSD)","Atrioventricuolar valvar & atrioventricular septal defect procedures",21
"Atrioventricular septal defect (AVSD): complete (common valve orifice) repair,","12.05.01",,,,,"AVC (AVSD) repair, Complete (CAVSD)","Atrioventricuolar valvar & atrioventricular septal defect procedures",22
"Atrioventricular septal defect (AVSD): 'intermediate' repair,","12.05.10",,,,,"AVC (AVSD) repair, Intermediate (Transitional)","Atrioventricuolar valvar & atrioventricular septal defect procedures",23
"Atrioventricular septal defect (AVSD): partial with isolated ventricular component (VSD) repair,","12.04.09",,,,,"VSD repair","Atrioventricuolar valvar & atrioventricular septal defect procedures",24
"Common atrioventricular valvar leaflet (valvoplasty) procedure,","12.48.01",,,,,"Valvuloplasty, Common atrioventricular valve","Atrioventricuolar valvar & atrioventricular septal defect procedures",25
"Atrioventricular septal defect (AVSD): right atrioventricular valvar procedure,","12.04.20",,,,,"Valvuloplasty, Tricuspid","Atrioventricuolar valvar & atrioventricular septal defect procedures",26
"Atrioventricular septal defect (AVSD): left atrioventricular valvar procedure,","12.04.40",,,,,"Valvuloplasty, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures",27
"Atrioventricular septal defect (AVSD): left atrioventricular valvar replacement,","12.04.45",,,,,"Valve replacement, Mitral (MVR)","Atrioventricuolar valvar & atrioventricular septal defect procedures",28
"Common atrioventricular valve repair converted to atrioventricular valvar replacement,","12.04.33",,,,,"atrioventricular valve","Atrioventricuolar valvar & atrioventricular septal defect procedures",29
"Common atrioventricular valve replacement,","12.04.18",,,,,"Valve replacement, Common atrioventricular valve","Atrioventricuolar valvar & atrioventricular septal defect procedures",30
"Atrioventricular septal defect (AVSD): suturing together superior + inferior bridging leaflets to left ventricular side of septum ('cleft'),","12.48.02",,,,,"Valvuloplasty, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures",31
"Atrioventricular septal defect (AVSD) & Tetralogy of Fallot repair,","12.05.11",,,,,"TOF- AVC (AVSD) repair","Atrioventricuolar valvar & atrioventricular septal defect procedures",32
"Ventricular and ventricular septum procedures",,,,,,,"Ventricular and ventricular septum procedures",1
"Right ventricular procedure,","12.06.26",,,,,"Cardiac procedure, Other","Ventricular and ventricular septum procedures",2
"Double chambered right ventricle repair,","12.06.35",,,,,"DCRV repair","Ventricular and ventricular septum procedures",3
"Right ventricular aneurysm repair,","12.06.38",,,,,"Aneurysm, Ventricular, Right, Repair","Ventricular and ventricular septum procedures",4
"Right ventricular outflow tract procedure,","12.06.00",,,,,"RVOT procedure","Ventricular and ventricular septum procedures",5
"Right ventricular outflow tract obstruction relief,","12.06.41",,,,,"RVOT procedure","Ventricular and ventricular septum procedures",6
"Subpulmonary obstruction relief,","12.08.21",,,,,"RVOT procedure","Ventricular and ventricular septum procedures",7
"1.5 ventricle repair: superior cavopulmonary (Glenn) anastomosis + right ventricular outflow tract reconstruction,","12.06.19",,,,,"1 1/2 ventricular repair","Ventricular and ventricular septum procedures",8
"Left ventricular procedure,","12.07.26",,,,,"Cardiac procedure, Other","Ventricular and ventricular septum procedures",9
"Left ventricular aneurysm repair,","12.07.37",,,,,"Aneurysm, Ventricular, Left, Repair","Ventricular and ventricular septum procedures",10
"Partial left ventriculectomy-volume reduction (Batista),","12.07.38",,,,,"Partial left ventriculectomy (LV volume reduction) (Batista)","Ventricular and ventricular septum procedures",11
"Left ventricular outflow tract procedure,","12.07.00",,,,,"Cardiac procedure, Other","Ventricular and ventricular septum procedures",12
"Left ventricular outflow tract obstruction relief,","12.07.13",,,,,"Aortic stenosis, Subvalvar, Repair","Ventricular and ventricular septum procedures",13
"Left ventricular outflow tract myectomy-myotomy,","12.07.11",,,,,"Aortic stenosis, Subvalvar, Repair","Ventricular and ventricular septum procedures",14
"Subaortic obstruction relief,","12.08.22",,,,,"Aortic stenosis, Subvalvar, Repair","Ventricular and ventricular septum procedures",15
"Subaortic fibromuscular shelf resection,","12.07.01",,,,,"Aortic stenosis, Subvalvar, Repair","Ventricular and ventricular septum procedures",16
"Left ventricular outflow tract obstruction relief: complex (Konno etc),","12.07.12",,,,,"Konno procedure","Ventricular and ventricular septum procedures",17
"Ventricular septal defect (VSD) closure,","12.08.01",,,,,"VSD repair","Ventricular and ventricular septum procedures",18
"Ventricular septal defect (VSD) closure by direct suture,","12.08.02",,,,,"VSD repair, Primary closure","Ventricular and ventricular septum procedures",19
"Ventricular septal defect (VSD) closure using patch,","12.08.03",,,,,"VSD repair, Patch","Ventricular and ventricular septum procedures",20
"Closure of multiple ventricular septal defect (VSD)s,","12.08.16",,,,,"VSD multiple repair","Ventricular and ventricular septum procedures",21
"Ventricular septal defect (VSD) enlargement/ creation,","12.08.35",,,,,"VSD creation / enlargement","Ventricular and ventricular septum procedures",22
"Ventricular septal defect (VSD) enlargement,","12.08.06",,,,,"VSD creation / enlargement","Ventricular and ventricular septum procedures",23
"Open fenestration of ventricular septal defect (VSD) patch,","12.08.19",,,,,"Ventricular septal fenestration","Ventricular and ventricular septum procedures",24
"Ventriculo-arterial valvar and great arterial procedures",,,,,,,"Ventriculo-arterial valvar and great arterial procedures",1
"Common arterial trunk (truncus) repair,","12.11.00",,,,,"Truncus Arteriosus repair","Ventriculo-arterial valvar and great arterial procedures",2
"Truncal valve cusp(s) repair (valvoplasty),","12.11.34",,,,,"Valvuloplasty, truncal valve","Ventriculo-arterial valvar and great arterial procedures",3
"Truncal valve replacement,","12.11.41",,,,,"Valve replacement, Truncal valve","Ventriculo-arterial valvar and great arterial procedures",4
"Truncal valve repair converted to truncal valvar replacement,","12.11.43",,,,,"Valvuloplasty converted to valve replacement in the same operation, Truncal valve","Ventriculo-arterial valvar and great arterial procedures",5
"Pulmonary valvar procedure,","12.13.00",,,,,"Valve surgery, Other, Pulmonic","Ventriculo-arterial valvar and great arterial procedures",6
"Pulmonary valvotomy: open,","12.13.02",,,,,"Valvuloplasty, Pulmonic","Ventriculo-arterial valvar and great arterial procedures",7
"Pulmonary valvectomy,","12.13.12",,,,,"Valve excision, Pulmonary (without replacement)","Ventriculo-arterial valvar and great arterial procedures",8
"Pulmonary valve closure-oversewing,","12.13.15",,,,,"Valve closure, Semilunar","Ventriculo-arterial valvar and great arterial procedures",9
"Pulmonary valvar replacement (not conduit),","12.13.21",,,,,"Valve replacement, Pulmonic (PVR)","Ventriculo-arterial valvar and great arterial procedures",10
"Pulmonary valvar replacement using homograft,","12.13.22",,,,,"Valve replacement, Pulmonic (PVR)","Ventriculo-arterial valvar and great arterial procedures",11
"Pulmonary valve repair converted to pulmonary valvar replacement,","12.13.55",,,,,"Valvuloplasty converted to valve replacement in the same operation, Pulmonic","Ventriculo-arterial valvar and great arterial procedures",12
"Pulmonary trunk band (PA band),","12.14.02",,,,,"PA banding (PAB)","Ventriculo-arterial valvar and great arterial procedures",13
"Pulmonary trunk band removal (de-band),","12.14.03",,,,,"PA debanding","Ventriculo-arterial valvar and great arterial procedures",14
"Application of right & left pulmonary arterial bands,","12.14.19",,,,,"PA banding (PAB)","Ventriculo-arterial valvar and great arterial procedures",15
"Pulmonary artery ligation,","12.14.31",,,,,"Ligation, Pulmonary artery","Ventriculo-arterial valvar and great arterial procedures",16
"Pulmonary trunk arterioplasty,","12.14.01",,,,,"PA reconstruction (plasty), Main (trunk)","Ventriculo-arterial valvar and great arterial procedures",17
"Pulmonary arterioplasty/ reconstruction,","12.14.20",,,,,"PA reconstruction (Plasty)","Ventriculo-arterial valvar and great arterial procedures",18
"Pulmonary arterioplasty/ reconstruction: central (proximal to hilar bifurcation),","12.14.21",,,,,"PA reconstruction (plasty), Branch, Central (within the hilar bifurcation)","Ventriculo-arterial valvar and great arterial procedures",19
"Pulmonary arterioplasty/ reconstruction: peripheral (at-beyond hilar bifurcation),","12.14.22",,,,,"PA reconstruction (plasty), Branch, Peripheral (at or beyond the hilar bifurcation)","Ventriculo-arterial valvar and great arterial procedures",20
"Pulmonary aneurysm repair,","12.15.24",,,,,"Aneurysm, Pulmonary artery, Repair","Ventriculo-arterial valvar and great arterial procedures",21
"Pulmonary arteriovenous fistula closure,","12.25.07",,,,,"Pulmonary AV fistula repair / occlusion","Ventriculo-arterial valvar and great arterial procedures",22
"Pulmonary thromboembolectomy,","12.15.48",,,,,"Pulmonary embolectomy","Ventriculo-arterial valvar and great arterial procedures",23
"Pulmonary thromboembolectomy for acute embolus,","12.15.80",,,,,"Pulmonary embolectomy, Acute pulmonary embolus","Ventriculo-arterial valvar and great arterial procedures",24
"Pulmonary thromboembolectomy for chronic (longstanding) embolus,","12.15.81",,,,,"Pulmonary embolectomy, Chronic pulmonary embolus","Ventriculo-arterial valvar and great arterial procedures",25
"Procedure involving pulmonary artery,","12.15.11",,,,,"Cardiac procedure, Other","Ventriculo-arterial valvar and great arterial procedures",26
"Aortic valvar procedure,","12.16.00",,,,,"Valve surgery, Other, Aortic","Ventriculo-arterial valvar and great arterial procedures",27
"Aortic valvotomy: closed,","12.16.04",,,,,"Valvuloplasty, Aortic","Ventriculo-arterial valvar and great arterial procedures",28
"Aortic valvotomy: open,","12.16.02",,,,,"Valvuloplasty, Aortic","Ventriculo-arterial valvar and great arterial procedures",29
"Aortic cusp(s) repair (valvoplasty),","12.16.11",,,,,"Valvuloplasty, Aortic","Ventriculo-arterial valvar and great arterial procedures",30
"Aortic valve closure-oversewing,","12.16.61",,,,,"Valve closure, Semilunar","Ventriculo-arterial valvar and great arterial procedures",31
"'Annuloplasty' of aortic valve,","12.16.14",,,,,"Other annular enlargement procedure","Ventriculo-arterial valvar and great arterial procedures",32
"Aortic valvar replacement,","12.16.21",,,,,"Valve replacement, Aortic (AVR)","Ventriculo-arterial valvar and great arterial procedures",33
"Aortic valvar replacement using homograft,","12.16.22",,,,,"Valve replacement, Aortic (AVR), Homograft","Ventriculo-arterial valvar and great arterial procedures",34
"Aortic valvar replacement using heterograft bioprosthesis,","12.16.28",,,,,"Valve replacement, Aortic (AVR), Bioprosthetic","Ventriculo-arterial valvar and great arterial procedures",35
"Aortic valvar replacement using mechanical prosthesis,","12.16.29",,,,,"Valve replacement, Aortic (AVR), Mechanical","Ventriculo-arterial valvar and great arterial procedures",36
"Aortic valve repair converted to aortic valvar replacement,","12.16.97",,,,,"Valvuloplasty converted to valve replacement in the same operation, Aortic","Ventriculo-arterial valvar and great arterial procedures",37
"Aortic root replacement (not Ross),","12.16.50",,,,,"Aortic root replacement","Ventriculo-arterial valvar and great arterial procedures",38
"Aortic root replacement using homograft,","12.16.63",,,,,"Aortic root replacement, Homograft","Ventriculo-arterial valvar and great arterial procedures",39
"Aortic root replacement using mechanical prosthesis,","12.16.64",,,,,"Aortic root replacement, Mechanical","Ventriculo-arterial valvar and great arterial procedures",40
"Aortic root replacement using bioprosthesis,","12.17.90",,,,,"Aortic root replacement, Bioprosthetic","Ventriculo-arterial valvar and great arterial procedures",41
"Aortic root replacement: valve sparing technique,","12.17.91",,,,,"Aortic root replacement, Valve sparing","Ventriculo-arterial valvar and great arterial procedures",42
"Aortic root replacement + coronary artery reimplantation (Bentall),","12.16.33",,,,,"Aortic root replacement","Ventriculo-arterial valvar and great arterial procedures",43
"Ascending aorta replacement,","12.16.65",,,,,"Aortic aneurysm repair","Ventriculo-arterial valvar and great arterial procedures",44
"Ascending aorta replacement & aortic valvar resuspension,","12.16.35",,,,,"Aortic aneurysm repair","Ventriculo-arterial valvar and great arterial procedures",45
"Ross procedure: aortic valve or root replacement with pulmonary autograft & pulmonary valvar replacement,","12.16.30",,,,,"Ross procedure","Ventriculo-arterial valvar and great arterial procedures",46
"Ross-Konno procedure,","12.16.62",,,,,"Ross - Konno procedure","Ventriculo-arterial valvar and great arterial procedures",47
"Aortic sinus of Valsalva procedure,","12.16.80",,,,,"Cardiac procedure, Other","Ventriculo-arterial valvar and great arterial procedures",48
"Aortic sinus of Valsalva distal fistula closure,","12.16.81",,,,,"Sinus of Valsalva , Aneurysm repair","Ventriculo-arterial valvar and great arterial procedures",49
"Aortic sinus of Valsalva aneurysm repair,","12.16.85",,,,,"Sinus of Valsalva , Aneurysm repair","Ventriculo-arterial valvar and great arterial procedures",50
"Aorto-left ventricular tunnel closure,","12.16.90",,,,,"LV to aorta tunnel repair","Ventriculo-arterial valvar and great arterial procedures",51
"Aortopulmonary window closure,","12.12.01",,,,,"AP window repair","Ventriculo-arterial valvar and great arterial procedures",52
"Pulmonary artery origin from ascending aorta (hemitruncus) repair,","12.14.30",,,,,"Pulmonary artery origin from ascending aorta (hemitruncus) repair","Ventriculo-arterial valvar and great arterial procedures",53
"Supravalvar aortic stenosis repair,","12.16.40",,,,,"Aortic stenosis, Supravalvar, Repair","Ventriculo-arterial valvar and great arterial procedures",54
"Aorta aneurysm repair,","12.16.42",,,,,"Aortic aneurysm repair","Ventriculo-arterial valvar and great arterial procedures",55
"Aortic arch aneurysm repair,","12.16.66",,,,,"Aortic aneurysm repair","Ventriculo-arterial valvar and great arterial procedures",56
"Descending aorta aneurysm repair,","12.16.67",,,,,"Aortic aneurysm repair","Ventriculo-arterial valvar and great arterial procedures",57
"Abdominal aorta aneurysm repair,","12.16.68",,,,,"Aortic aneurysm repair","Ventriculo-arterial valvar and great arterial procedures",58
"Aortic dissection repair,","12.16.59",,,,,"Aortic dissection repair","Ventriculo-arterial valvar and great arterial procedures",59
"Aortopexy,","12.17.31",,,,,"Aortopexy","Ventriculo-arterial valvar and great arterial procedures",60
"Systemic arterial procedure,","12.22.00",,,,,"Peripheral vascular procedure, Other","Ventriculo-arterial valvar and great arterial procedures",61
"Vascular ring procedure,","12.17.11",,,,,"Vascular ring repair","Ventriculo-arterial valvar and great arterial procedures",62
"Pulmonary arterial sling repair,","12.17.32",,,,,"Pulmonary artery sling repair","Ventriculo-arterial valvar and great arterial procedures",63
"Aortic arch repair,","12.18.30",,,,,"Aortic arch repair","Ventriculo-arterial valvar and great arterial procedures",64
"Coarctation-hypoplasia of aorta repair,","12.18.00",,,,,"Coartation repair","Ventriculo-arterial valvar and great arterial procedures",65
"Aortic coarctation-hypoplasia repair by resection & end to end anastomosis,","12.18.01",,,,,"Coarctation repair, End to end","Ventriculo-arterial valvar and great arterial procedures",66
"Aortic coarctation-hypoplasia repair by patch aortoplasty,","12.18.02",,,,,"Coarctation repair, Patch aortoplasty","Ventriculo-arterial valvar and great arterial procedures",67
"Aortic coarctation-hypoplasia repair by subclavian flap aortoplasty,","12.18.03",,,,,"Coarctation repair, Subclavian flap","Ventriculo-arterial valvar and great arterial procedures",68
