"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","icd10am_code_additional","sts_name","icd9_code","icd9_additional"
"Diagnostic codes for rhythm and conduction disturbances","Cardiac arrest,","11.00.21","I46.9","Cardiac arrest, unspecified",,"I46.9","Cardiac arrest, unspecified",,"Arrhythmia","427.5",
"Diagnostic codes for rhythm and conduction disturbances","Sinus bradycardia,","11.02.04","I49.8","Other specified cardiac arrhythmias",,"I49.8","Other specified cardiac arrhythmias",,"Arrhythmia","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Vagal sinus bradycardia: bradycardia(s) of prematurity,","11.02.15","I49.8","Other specified cardiac arrhythmias",,"I49.8","Other specified cardiac arrhythmias",,"Arrhythmia","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Sinus tachycardia,","11.02.07","I47.1","Supraventricular tachycardia",,"I47.1","Supraventricular tachycardia",,"Arrhythmia","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Sudden Arrhythmic Death Syndrome (SADS),","11.00.11","I46.1","Sudden cardiac death, so described",,"I46.1","Sudden cardiac death, so described",,"Arrhythmia","798.1",
"Diagnostic codes for rhythm and conduction disturbances","Supraventricular rhythm disturbance,","11.01.01","I49.8","Other specified cardiac arrhythmias",,"I49.8","Other specified cardiac arrhythmias",,"Arrhythmia, atrial","427.0",
"Diagnostic codes for rhythm and conduction disturbances","Supraventricular tachycardia,","11.01.00","I47.1","Supraventricular tachycardia",,"I47.1","Supraventricular tachycardia",,"Arrhythmia, atrial","427.0",
"Diagnostic codes for rhythm and conduction disturbances","Focal atrial tachycardia: ectopic (automatic),","11.03.12","I47.1","Supraventricular tachycardia",,"I47.1","Supraventricular tachycardia",,"Arrhythmia, atrial","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Multifocal atrial tachycardia (chaotic),","11.03.15","I47.1","Supraventricular tachycardia",,"I47.1","Supraventricular tachycardia",,"Arrhythmia, atrial","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Premature atrial beats (complexes-contractions),","11.03.21","I49.1","Atrial premature depolarization",,"I49.1","Atrial premature depolarisation",,"Arrhythmia, atrial","427.6",
"Diagnostic codes for rhythm and conduction disturbances","Macro-reentrant atrial tachycardia (including atrial flutter),","11.03.13","I47.1","Supraventricular tachycardia",,"I47.1","Supraventricular tachycardia",,"Arrhythmia, atrial","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Cavotricuspid isthmus dependent reentry atrial tachycardia: atrial flutter,","11.03.66","I49.8","Other specified cardiac arrhythmias",,"I49.8","Other specified cardiac arrhythmias",,"Arrhythmia, atrial","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Non-cavotricuspid isthmus dependent atrial tachycardia,","11.03.67","I49.8","Other specified cardiac arrhythmias",,"I49.8","Other specified cardiac arrhythmias",,"Arrhythmia, atrial","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Atrial flutter,","11.03.07","I48",,,,,,"Arrhythmia, atrial","427.3",
"Diagnostic codes for rhythm and conduction disturbances","Atrial fibrillation,","11.03.08","I48",,,,,,"Arrhythmia, atrial","427.3",
"Diagnostic codes for rhythm and conduction disturbances","Paroxysmal atrial tachycardia,","11.03.05","I47.1","Supraventricular tachycardia",,"I47.1","Supraventricular tachycardia",,"Arrhythmia, atrial","427.0",
"Diagnostic codes for rhythm and conduction disturbances","Rhythm disturbance at level of AV junction,","11.04.00","I49.8","Other specified cardiac arrhythmias",,"I49.8","Other specified cardiac arrhythmias",,"Arrhythmia, junctional","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Atrioventricular junctional (nodal) tachycardia,","11.04.07","I47.1","Supraventricular tachycardia",,"I47.1","Supraventricular tachycardia",,"Arrhythmia, junctional","427.0",
"Diagnostic codes for rhythm and conduction disturbances","Atrioventricular nodal reentry tachycardia (AVNRT),","11.04.11","I47.1","Supraventricular tachycardia",,"I47.1","Supraventricular tachycardia",,"Arrhythmia, junctional","427.0",
"Diagnostic codes for rhythm and conduction disturbances","Junctional ectopic tachycardia (His bundle),","11.04.42","I47.1","Supraventricular tachycardia",,"I47.1","Supraventricular tachycardia",,"Arrhythmia, junctional","427.0",
"Diagnostic codes for rhythm and conduction disturbances","AV reciprocating (reentry) tachycardia (accessory pathway mediated),","11.07.29","I45.6","Pre-excitation syndrome",,"I45.6","Pre-excitation syndrome",,"Arrhythmia, atrial","426.7",
"Diagnostic codes for rhythm and conduction disturbances","Manifest accessory pathway,","11.07.11","I45.6","Pre-excitation syndrome",,"I45.6","Pre-excitation syndrome",,"Arrhythmia, atrial","426.7",
"Diagnostic codes for rhythm and conduction disturbances","AV reciprocating (reentry) tachycardia: manifest preexcitation in sinus rhythm (Wolff Parkinson White),","11.07.01","I45.6","Pre-excitation syndrome",,"I45.6","Pre-excitation syndrome",,"Arrhythmia, atrial","426.7",
"Diagnostic codes for rhythm and conduction disturbances","Accessory pathway: retrograde conduction only (concealed: no preexcitation sinus rhythm),","11.07.06","I45.8","Other specified conduction disorders",,"I45.8","Other specified conduction disorders",,"Arrhythmia, atrial","426.7",
"Diagnostic codes for rhythm and conduction disturbances","AV reciprocating (reentry) tachycardia: orthodromic,","11.07.22","I45.6","Pre-excitation syndrome",,"I45.6","Pre-excitation syndrome",,"Arrhythmia, atrial","426.7",
"Diagnostic codes for rhythm and conduction disturbances","AV reentry (reciprocating) tachycardia: antidromic (typically wide QRS),","11.07.23","I45.6","Pre-excitation syndrome",,"I45.6","Pre-excitation syndrome",,"Arrhythmia, atrial","426.7",
"Diagnostic codes for rhythm and conduction disturbances","AV reentry (reciprocating) tachycardia: orthodromic & antidromic,","11.07.28","I45.6","Pre-excitation syndrome",,"I45.6","Pre-excitation syndrome",,"Arrhythmia, atrial","426.7",
"Diagnostic codes for rhythm and conduction disturbances","Permanent junctional reciprocating tachycardia (PJRT),","11.07.14","I47.1","Supraventricular tachycardia",,"I47.1","Supraventricular tachycardia",,"Arrhythmia, atrial","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Multiple accessory pathways,","11.07.26","I45.6","Pre-excitation syndrome",,"I45.6","Pre-excitation syndrome",,"Arrhythmia, atrial","426.7",
"Diagnostic codes for rhythm and conduction disturbances","Ventricular rhythm disturbance,","11.05.00","I49.8","Other specified cardiac arrhythmias",,"I49.8","Other specified cardiac arrhythmias",,"Arrhythmia, ventricular","427.8",
"Diagnostic codes for rhythm and conduction disturbances","Ventricular tachycardia,","11.05.06","I47.2","Ventricular tachycardia",,"I47.2","Ventricular tachycardia",,"Arrhythmia, ventricular","427.1",
"Diagnostic codes for rhythm and conduction disturbances","Non-sustained ventricular tachycardia,","11.05.50","I47.2","Ventricular tachycardia",,"I47.2","Ventricular tachycardia",,"Arrhythmia, ventricular","427.1",
"Diagnostic codes for rhythm and conduction disturbances","Macro-reentrant ventricular tachycardia,","11.05.57","I47.2","Ventricular tachycardia",,"I47.2","Ventricular tachycardia",,"Arrhythmia, ventricular","427.1",
"Diagnostic codes for rhythm and conduction disturbances","Focal ventricular tachycardia,","11.05.56","I47.2","Ventricular tachycardia",,"I47.2","Ventricular tachycardia",,"Arrhythmia, ventricular","427.1",
"Diagnostic codes for rhythm and conduction disturbances","Ventricular flutter,","11.05.09","I49.0","Ventricular fibrillation and flutter",,"I49.0","Ventricular fibrillation and flutter",,"Arrhythmia, ventricular","427.4",
"Diagnostic codes for rhythm and conduction disturbances","Ventricular fibrillation,","11.05.10","I49.0","Ventricular fibrillation and flutter",,"I49.0","Ventricular fibrillation and flutter",,"Arrhythmia, ventricular","427.4",
"Diagnostic codes for rhythm and conduction disturbances","Premature ventricular beats (complexes-contractions),","11.05.21","I49.3","Ventricular premature depolarization",,"I49.3","Ventricular premature depolarisation",,"Arrhythmia, ventricular","427.6",
"Diagnostic codes for rhythm and conduction disturbances","Conduction disturbance,","11.06.00","I45.9","Conduction disorder, unspecified",,"I45.9","Conduction disorder, unspecified",,"Arrhythmia, Heart block","426.9",
"Diagnostic codes for rhythm and conduction disturbances","Sinoatrial block,","11.06.01","I45.5","Other specified heart block",,"I45.5","Other specified heart block",,"Arrhythmia, atrial","426.6",
"Diagnostic codes for rhythm and conduction disturbances","Sinus node dysfunction (including sick sinus),","11.02.03","I49.5","Sick sinus syndrome",,"I49.50","Sinus node dysfunction, unspecified","I49.51","Arrhythmia, atrial","427.8",
"Diagnostic codes for rhythm and conduction disturbances","1st degree atrioventricular block,","11.06.02","I44.0","Atrioventricular block, first degree",,"I44.0","Atrioventricular block, first degree",,"Arrhythmia, atrial","426.1",
"Diagnostic codes for rhythm and conduction disturbances","2nd degree atrioventricular block,","11.06.03","I44.1","Atrioventricular block, second degree",,"I44.1","Atrioventricular block, second degree",,"Arrhythmia, atrial","426.1",
"Diagnostic codes for rhythm and conduction disturbances","Complete atrioventricular block (3rd degree),","11.06.07","I44.2","Atrioventricular block, complete",,"I44.2","Atrioventricular block, complete",,"Arrhythmia, Heart block","426.0",
"Diagnostic codes for rhythm and conduction disturbances","Congenital complete heart block,","11.06.16","Q24.6","Congenital heart block",,"Q24.6","Congenital heart block",,"Arrhythmia, Heart block, Congenital","746.8",
"Diagnostic codes for rhythm and conduction disturbances","Acquired complete atrioventricular block,","11.06.10","I44.2","Atrioventricular block, complete",,"I44.2","Atrioventricular block, complete",,"Arrhythmia, Heart block, Acquired","426.0",
"Diagnostic codes for rhythm and conduction disturbances","Complete right bundle branch block,","11.06.23","I45.1","Other and unspecified right bundle-branch block",,"I45.1","Other and unspecified right bundle-branch block",,"Arrhythmia","426.4",
"Diagnostic codes for rhythm and conduction disturbances","Complete left bundle branch block,","11.06.24","I44.7","Left bundle-branch block, unspecified",,"I44.7","Left bundle-branch block, unspecified",,"Arrhythmia","426.3",
"Diagnostic codes for rhythm and conduction disturbances","Morphological abnormality of conduction system,","11.23.00","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Arrhythmia","746.8",
"Diagnostic codes for rhythm and conduction disturbances","Ion channelopathy,","11.12.00","I47.2","Ventricular tachycardia",,"I47.2","Ventricular tachycardia",,"Arrhythmia","427.1",
"Diagnostic codes for rhythm and conduction disturbances","Prolonged QT interval,","11.12.01","I45.8","Other specified conduction disorders",,"I45.8","Other specified conduction disorders",,"Arrhythmia","426.9",
"Diagnostic codes for rhythm and conduction disturbances","Long QT syndrome,","11.12.29","I45.8","Other specified conduction disorders",,"I45.8","Other specified conduction disorders",,"Arrhythmia","426.9",
"Diagnostic codes for rhythm and conduction disturbances","Catecholaminergic polymorphic ventricular tachycardia,","11.05.17","I47.2","Ventricular tachycardia",,"I47.2","Ventricular tachycardia",,"Arrhythmia","427.1",
"Diagnostic codes for rhythm and conduction disturbances","Brugada syndrome (ventricular tachycardia with anterior raised ST),","11.05.44","I47.2","Ventricular tachycardia",,"I47.2","Ventricular tachycardia",,"Arrhythmia","427.1",
"Diagnostic codes for rhythm and conduction disturbances","Complication following arrhythmia related procedure,","15.51.00","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","T81.81, T81.82, T81.83, T81.84","Miscellaneous, Other","998.9",
"Diagnostic codes for rhythm and conduction disturbances","Pacemaker dysfunction-complication,,","11.11.01","T82.1","Mechanical complication of cardiac electronic device",,"T82.1","Mechanical complication of electronic cardiac device",,"Arrhythmia, Pacemaker, Indication for replacement","996.0",
"Diagnostic codes for rhythm and conduction disturbances","Pacemaker battery exhaustion: end of life (EOL),","11.11.03","T82.1","Mechanical complication of cardiac electronic device",,"T82.1","Mechanical complication of electronic cardiac device",,"Arrhythmia, Pacemaker, Indication for replacement","996.0",
"Diagnostic codes for rhythm and conduction disturbances","Pacemaker-Implantable cardioverter & defibrillator (ICD) loss of capture,","11.11.17","T82.1","Mechanical complication of cardiac electronic device",,"T82.1","Mechanical complication of electronic cardiac device",,"Arrhythmia, Pacemaker, Indication for replacement","996.0",
"Diagnostic codes for rhythm and conduction disturbances","Pacemaker dysfunction-complication necessitating replacement,","11.11.00","T82.1","Mechanical complication of cardiac electronic device",,"T82.1","Mechanical complication of electronic cardiac device",,"Arrhythmia, Pacemaker, Indication for replacement","996.0",
"Diagnostic codes for rhythm and conduction disturbances","Pacemaker (atrioventricular dyssynchrony) syndrome,","11.11.21","T82.1","Mechanical complication of cardiac electronic device",,"T82.1","Mechanical complication of electronic cardiac device",,"Arrhythmia, Pacemaker, Indication for replacement","996.0",
"Diagnostic codes for rhythm and conduction disturbances","Pacemaker lead dysfunction-complication,","11.11.40","T82.1","Mechanical complication of cardiac electronic device",,"T82.1","Mechanical complication of electronic cardiac device",,"Miscellaneous, Other","996.0",
"Diagnostic codes for rhythm and conduction disturbances","Pacemaker generator site local complication,","11.11.59","T82.9","Unspecified complication of cardiac and vascular prosthetic device, implant and graft",,"T82.9","Unspecified complication of cardiac and vascular prosthetic device, implant and graft",,"Miscellaneous, Other","996.0",
"Diagnostic codes for rhythm and conduction disturbances","Insertable electrocardiographic (ECG) loop recorder complication,","11.11.80","T82.9","Unspecified complication of cardiac and vascular prosthetic device, implant and graft",,"T82.9","Unspecified complication of cardiac and vascular prosthetic device, implant and graft",,"Miscellaneous, Other","996.0",
"Diagnostic codes for rhythm and conduction disturbances","Implantable cardioverter & defibrillator (ICD) dysfunction-complication,","11.11.60","T82.1","Mechanical complication of cardiac electronic device",,"T82.1","Mechanical complication of electronic cardiac device",,"Miscellaneous, Other","996.0",
"Diagnostic codes for lung and thoracic disease","Tracheobronchial malacia,","14.03.49","J98.0","Diseases of bronchus, not elsewhere classified",,"J98.0","Diseases of bronchus, not elsewhere classified",,"Tracheal disease, Other","519.1",
"Diagnostic codes for lung and thoracic disease","Tracheal stenosis,","16.10.01","J39.8","Other specified diseases of upper respiratory tract",,"J39.8","Other specified diseases of upper respiratory tract",,"Tracheal stenosis","519.1",
"Diagnostic codes for lung and thoracic disease","Tracheal disease,","16.10.09","J39.8","Other specified diseases of upper respiratory tract",,"J39.8","Other specified diseases of upper respiratory tract",,"Tracheal disease, Other","519.1",
"Diagnostic codes for lung and thoracic disease","Lung disease,","16.03.05","J98.4","Other disorders of lung",,"J98.4","Other disorders of lung",,"Lung disease, Benign","518.8",
"Diagnostic codes for lung and thoracic disease","Lung disease: benign,","16.03.01","D14.3","Benign neoplasm: Bronchus and lung",,"D14.3","Benign neoplasm of bronchus and lung",,"Lung disease, Benign","510.9",
"Diagnostic codes for lung and thoracic disease","Lung disease: malignant,","16.03.21","C34.9","Malignant neoplasm: Bronchus or lung, unspecified",,"C34.9","Malignant neoplasm of bronchus or lung, unspecified",,"Lung disease, Malignant","212.3",
"Diagnostic codes for lung and thoracic disease","Airway disease,","16.09.00","J98.8","Other specified respiratory disorders",,"J98.8","Other specified respiratory disorders",,"Airway disease,","519.8",
"Diagnostic codes for lung and thoracic disease","Asthma,","16.03.10","J45.9","Asthma, unspecified",,"J45.9","Asthma, unspecified",,"Lung disease, Benign","493.9",
"Diagnostic codes for lung and thoracic disease","Lower respiratory tract infection,","16.03.02","J98.8","Other specified respiratory disorders",,"J98.8","Other specified respiratory disorders",,"Pneumonia","162.9",
"Diagnostic codes for lung and thoracic disease","Traumatic injury of tracheobronchial tree or lungs,","10.90.24","J98.0","Diseases of bronchus, not elsewhere classified",,"J98.0","Diseases of bronchus, not elsewhere classified",,"Tracheal disease, Other","519.1",
"Diagnostic codes for lung and thoracic disease","Acquired bronchial disease,","16.08.00","J98.0","Diseases of bronchus, not elsewhere classified",,"J98.0","Diseases of bronchus, not elsewhere classified",,"Thoracic and-or mediastinal, Other","519.1",
"Diagnostic codes for lung and thoracic disease","Bronchial fistula,","16.02.00","J86.0","Pyothorax with fistula",,"J86.0","Pyothorax with fistula",,"Thoracic and-or mediastinal, Other","510.0",
"Diagnostic codes for lung and thoracic disease","Respiratory failure,","16.30.01","J96.9",,,,,,"Thoracic and-or mediastinal, Other","518.9",
"Diagnostic codes for lung and thoracic disease","Pneumothorax,","16.01.01","J93.9","Pneumothorax, unspecified",,"J93.9","Pneumothorax, unspecified",,"Pneumothorax","518.8",
"Diagnostic codes for lung and thoracic disease","Pleural effusion,","16.01.04","J90","Pleural effusion, not elsewhere classified",,"J90","Pleural effusion, not elsewhere classified",,"Pleural effusion","512",
"Diagnostic codes for lung and thoracic disease","Chylothorax,","16.01.07","J94.0","Chylous effusion",,"J94.0","Chylous effusion",,"Chylothorax","511.9",
"Diagnostic codes for lung and thoracic disease","Empyema,","16.01.11","J86",,,,,,"Empyema","457.8",
"Diagnostic codes for lung and thoracic disease","Pleural disease: benign,","16.01.21","D15.7","Benign neoplasm: Other specified intrathoracic organs",,"D15.7","Benign neoplasm of other specified intrathoracic organs",,"Pleural disease, Benign","212.4",
"Diagnostic codes for lung and thoracic disease","Pleural disease: malignant,","16.01.22","C38.4","Malignant neoplasm: Pleura",,"C38.4","Malignant neoplasm of pleura",,"Pleural disease, Malignant","163.9",
"Diagnostic codes for lung and thoracic disease","Oesophageal disorder,","16.20.10","K22.9","Disease of oesophagus, unspecified",,"K22.9","Disease of oesophagus, unspecified",,"Thoracic and-or mediastinal, Other","530",
"Diagnostic codes for lung and thoracic disease","Oesophageal disease: benign,","16.20.01","D13.0","Benign neoplasm: Oesophagus",,"D13.0","Benign neoplasm of oesophagus",,"Esophageal disease, Benign","211.0",
"Diagnostic codes for lung and thoracic disease","Oesophageal disease: malignant,","16.20.02","C15.9","Malignant neoplasm: Oesophagus, unspecified",,"C15.9","Malignant neoplasm of oesophagus, unspecified",,"Esophageal disease, Malignant","150.9",
"Diagnostic codes for lung and thoracic disease","Mediastinal disease,","16.05.13","J98.5","Diseases of mediastinum, not elsewhere classified",,"J98.5","Diseases of mediastinum, not elsewhere classified",,"Mediastinal disease","519.3",
"Diagnostic codes for lung and thoracic disease","Mediastinal disease: benign,","16.05.11","D15.2","Benign neoplasm: Mediastinum",,"D15.2","Benign neoplasm of mediastinum",,"Mediastinal disease, Benign","212.5",
"Diagnostic codes for lung and thoracic disease","Mediastinal disease: malignant,","16.05.12","C38.3","Malignant neoplasm: Mediastinum, part unspecified",,"C38.3","Malignant neoplasm of mediastinum, part unspecified",,"Mediastinal disease, Malignant","164.9",
"Diagnostic codes for lung and thoracic disease","Diaphragm disease,","16.15.09","J98.6","Disorders of diaphragm",,"J98.6","Disorders of diaphragm",,"Diaphragm disease, Other","519.4",
"Diagnostic codes for lung and thoracic disease","Diaphragm disorder: acquired,","16.13.00","J98.6","Disorders of diaphragm",,"J98.6","Disorders of diaphragm",,"Diaphragm disease, Other","553.3",
"Diagnostic codes for lung and thoracic disease","Diaphragm paralysis,","16.13.20","J98.6","Disorders of diaphragm",,"J98.6","Disorders of diaphragm",,"Diaphragm paralysis","519.4",
"Diagnostic codes for lung and thoracic disease","Musculoskeletal chest pain,","10.18.52","M62.8",,,,,,"Miscellaneous, Other","729.9",
"Diagnostic codes for symptoms and signs","Symptom-sign of heart disease,","10.17.00","R09.8","Other specified symptoms and signs involving the circulatory and respiratory systems",,"R09.88","Other specified symptoms and signs involving the circulatory system","R09.89","Miscellaneous, Other","785.9",
"Diagnostic codes for symptoms and signs","Syncope,","10.40.01","R55","Syncope and collapse",,"R55","Syncope and collapse",,"Miscellaneous, Other","780.2",
"Diagnostic codes for symptoms and signs","Cyanosis,","10.17.03","R23.0","Cyanosis",,"R23.0","Cyanosis",,"Miscellaneous, Other","782.5",
"Diagnostic codes for symptoms and signs","Heart failure,","10.17.05","I50.9","Heart failure, unspecified",,"I50.9","Heart failure, unspecified",,"Cardiac, Other","428.9",
"Diagnostic codes for symptoms and signs","Cyanotic spells,","10.17.12","R09.8","Other specified symptoms and signs involving the circulatory and respiratory systems",,"R09.88","Other specified symptoms and signs involving the circulatory system","R09.89","Cardiac, Other","785.9",
"Diagnostic codes for symptoms and signs","Palpitations,","10.17.13","R00.2","Palpitations",,"R00.2","Palpitations",,"Miscellaneous, Other","785.1",
"Diagnostic codes for symptoms and signs","Chest pain,","10.12.42","R07.4","Chest pain, unspecified",,"R07.4","Chest pain, unspecified",,"Miscellaneous, Other","786.5",
"Diagnostic codes for symptoms and signs","Failure to thrive,","10.12.39","R62.8","Other lack of expected normal physiological development",,"R62.8","Other lack of expected normal physiological development",,"Miscellaneous, Other","783.4",
"Diagnostic codes for symptoms and signs","Hypotension,","10.40.30","I95.9","Hypotension, unspecified",,"I95.9","Hypotension, unspecified",,"Miscellaneous, Other","458.9",
"Diagnostic codes for symptoms and signs","Angina pectoris,","10.12.51","I20.9","Angina pectoris, unspecified",,"I20.9","Angina pectoris, unspecified",,"Cardiac, Other","413",
"Diagnostic codes for symptoms and signs","Shock,","10.17.23","R57.9","Shock, unspecified",,"R57.9","Shock, unspecified",,"Miscellaneous, Other","785.5",
"Diagnostic codes for symptoms and signs","Cardiac symptom without pathology,","10.17.09","R09.8","Other specified symptoms and signs involving the circulatory and respiratory systems",,"R09.88","Other specified symptoms and signs involving the circulatory system","R09.89",,"785.9",
"Diagnostic codes for Preoperative Risk Factors","No pre-procedural risk factors,","10.20.00","nc",,,,,,"None","nc",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural risk factor,","10.20.19","nc",,,,,,"Other preoperative risk factor","nc",
"Diagnostic codes for Preoperative Risk Factors","Weight less than 2.5 kg,","10.22.07","P07.1","Other low birth weight",,"P07.11","Other low birth weight 1000-1249g","P07.12, P07.13","Other preoperative risk factor","765.1",
"Diagnostic codes for Preoperative Risk Factors","Obesity (Body Mass Index over 30),","14.03.59","E66.9","Obesity, unspecified",,"E66.90","Obesity, not elsewhere classified, body mass index [BMI] not elsewhere classified","E66.91, E66.92, E66.93","Other preoperative risk factor","278.0",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural arrhythmia,","10.20.03","I49.9","Cardiac arrhythmia, unspecified",,"I49.9","Cardiac arrhythmia, unspecified",,"Preoperative arrhythmia","427.9",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural complete atrioventricular block,","11.06.35","I44.2","Atrioventricular block, complete",,"I44.2","Atrioventricular block, complete",,"Preoperative complete AV block","426.0",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural shock,","10.20.02","R57.0","Cardiogenic shock",,"R57.0","Cardiogenic shock",,"Preoperative shock","785.5",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural shock at time of surgery (persistent),","10.20.31","R57.0","Cardiogenic shock",,"R57.0","Cardiogenic shock",,"Preoperative shock - persistent","785.5",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural shock resolved by time of surgery,","10.20.32","R57.0","Cardiogenic shock",,"R57.0","Cardiogenic shock",,"Preoperative shock - resolved","785.5",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural cardiopulmonary resuscitation (less than 48 hours),","10.20.33","I46.9","Cardiac arrest, unspecified",,"I46.9","Cardiac arrest, unspecified",,"Preoperative shock","427.5",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural acidosis,","10.20.05","E87.8","Other disorders of electrolyte and fluid balance, not elsewhere classified",,"E87.8","Other disorders of electrolyte and fluid balance, not elsewhere classified",,"Preoperative acidosis","276.9",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural myocardial dysfunction,","10.20.34","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Other preoperative risk factor","429.8",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural pulmonary hypertension,","10.20.16","J95.8","Other postprocedural respiratory disorders",,"J95.89","Other intraoperative and postprocedural disorders of respiratory system, not elsewhere classified","J95.81, J95.82, J95.83, J95.84, J95.85","Preoperative pulmonary hypertensive crises (PA pressure > systemic pressure)","518.5",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural pulmonary hypertension (pulmonary pressure more than or equal to systemic pressure): echo data,","10.20.45","J95.8","Other postprocedural respiratory disorders",,"J95.89","Other intraoperative and postprocedural disorders of respiratory system, not elsewhere classified","J95.81, J95.82, J95.83, J95.84, J95.85","arterial pressure) - Data source = ECHO","518.5",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural pulmonary hypertension (pulmonary pressure more than or equal to systemic pressure): catheter data,","10.20.46","J95.8","Other postprocedural respiratory disorders",,"J95.89","Other intraoperative and postprocedural disorders of respiratory system, not elsewhere classified","J95.81, J95.82, J95.83, J95.84, J95.85","arterial pressure) - Data source = CATH","518.5",
"Diagnostic codes for Preoperative Risk Factors","Elevated lung resistance for biventricular repair (over 6 Wood units),","10.13.63","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases",,"Other preoperative risk factor","416.8",
"Diagnostic codes for Preoperative Risk Factors","Elevated lung resistance for heart transplant (over 4 Wood units),","10.13.64","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases",,"Other preoperative risk factor","416.8",
"Diagnostic codes for Preoperative Risk Factors","Elevated lung resistance for univentricular repair (over 2 Wood units),","10.13.65","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases",,"Other preoperative risk factor","416.8",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural respiratory syncytial virus (RSV) infection,","10.20.37","J12.1","Respiratory syncytial virus pneumonia",,"J12.1","Respiratory syncytial virus pneumonia",,"Other preoperative risk factor","465.9",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural mechanical ventilatory support,","10.20.14","Z99.1","Dependence on respirator",,"Z99.1","Dependence on respirator",,"Preoperative mechanical ventilatory support","V46.1",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural tracheostomy,","10.20.17","Z93.0","Tracheostomy status",,"Z93.0","Tracheostomy status",,"Preoperative tracheostomy","V44.0",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural renal failure (creatinine over 176micromol/l),","10.20.07","N17.9","Acute renal failure, unspecified",,"N17.9","Acute kidney failure, unspecified",,"Preoperative renal failure (creatinine > 2)","584.9",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural renal failure requiring dialysis,","10.20.08","Z99.2","Dependence on renal dialysis",,"Z99.2","Dependence on renal dialysis",,"Preoperative renal failure requiring dialysis","V45.1",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural necrotising enterocolitis: treated medically,","10.20.38","P77","Necrotizing enterocolitis of fetus and newborn",,"P77","Necrotising enterocolitis of fetus and newborn",,"Other preoperative risk factor","777.5",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural necrotising enterocolitis: treated surgically,","10.20.39","P77","Necrotizing enterocolitis of fetus and newborn",,"P77","Necrotising enterocolitis of fetus and newborn",,"Other preoperative risk factor","777.5",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural coagulation disorder,","10.20.06","D68.9","Coagulation defect, unspecified",,"D68.9","Coagulation defect, unspecified",,"Preoperative bleeding disorder","286.9",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural mechanical circulatory support,","10.20.15","Z99.8","Dependence on other enabling machines and devices",,"Z99.8","Dependence on other enabling machines and devices",,"Preoperative mechanical circulatory support (IABP, VAD, ECMO, or CPS)","V46.8",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural septicaemia,","10.20.09","A41.9","Sepsis, unspecified",,"A41.9","Sepsis, unspecified",,"Preoperative septicemia","038.9",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural endocarditis,","10.06.65","I33.0","Acute and subacute infective endocarditis",,"I33.0","Acute and subacute infective endocarditis",,"Preoperative endocarditis","421.0",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural neurological impairment,","10.20.12","G93.9","Disorder of brain, unspecified",,"G93.9","Disorder of brain, unspecified",,"Preoperative neurological deficit","348.9",
