"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","sts_name","icd9_code","icd9_additional","icd10am_seq","icd10_seq"
"Diagnostic codes for lung and thoracic disease","Traumatic injury of tracheobronchial tree or lungs,","10.90.24","J98.0","Diseases of bronchus, not elsewhere classified",,"J98.0","Diseases of bronchus, not elsewhere classified","Tracheal disease, Other","519.1",,2,2
"Diagnostic codes for lung and thoracic disease","Acquired bronchial disease,","16.08.00","J98.0","Diseases of bronchus, not elsewhere classified",,"J98.0","Diseases of bronchus, not elsewhere classified","Thoracic and-or mediastinal, Other","519.1",,3,3
"Diagnostic codes for lung and thoracic disease","Bronchial fistula,","16.02.00","J86.0","Pyothorax with fistula",,"J86.0","Pyothorax with fistula","Thoracic and-or mediastinal, Other","510",,1,1
"Diagnostic codes for lung and thoracic disease","Respiratory failure,","16.30.01","J96.9",,,,,"Thoracic and-or mediastinal, Other","518.9",,17,1
"Diagnostic codes for lung and thoracic disease","Pneumothorax,","16.01.01","J93.9","Pneumothorax, unspecified",,"J93.9","Pneumothorax, unspecified","Pneumothorax","518.8",,1,1
"Diagnostic codes for lung and thoracic disease","Pleural effusion,","16.01.04","J90","Pleural effusion, not elsewhere classified",,"J90","Pleural effusion, not elsewhere classified","Pleural effusion","512",,1,1
"Diagnostic codes for lung and thoracic disease","Chylothorax,","16.01.07","J94.0","Chylous effusion",,"J94.0","Chylous effusion","Chylothorax","511.9",,1,1
"Diagnostic codes for lung and thoracic disease","Empyema,","16.01.11","J86",,,,,"Empyema","457.8",,18,1
"Diagnostic codes for lung and thoracic disease","Pleural disease: benign,","16.01.21","D15.7","Benign neoplasm: Other specified intrathoracic organs",,"D15.7","Benign neoplasm of other specified intrathoracic organs","Pleural disease, Benign","212.4",,1,1
"Diagnostic codes for lung and thoracic disease","Pleural disease: malignant,","16.01.22","C38.4","Malignant neoplasm: Pleura",,"C38.4","Malignant neoplasm of pleura","Pleural disease, Malignant","163.9",,1,1
"Diagnostic codes for lung and thoracic disease","Oesophageal disorder,","16.20.10","K22.9","Disease of oesophagus, unspecified",,"K22.9","Disease of oesophagus, unspecified","Thoracic and-or mediastinal, Other","530",,1,1
"Diagnostic codes for lung and thoracic disease","Oesophageal disease: benign,","16.20.01","D13.0","Benign neoplasm: Oesophagus",,"D13.0","Benign neoplasm of oesophagus","Esophageal disease, Benign","211",,1,1
"Diagnostic codes for lung and thoracic disease","Oesophageal disease: malignant,","16.20.02","C15.9","Malignant neoplasm: Oesophagus, unspecified",,"C15.9","Malignant neoplasm of oesophagus, unspecified","Esophageal disease, Malignant","150.9",,1,1
"Diagnostic codes for lung and thoracic disease","Mediastinal disease,","16.05.13","J98.5","Diseases of mediastinum, not elsewhere classified",,"J98.5","Diseases of mediastinum, not elsewhere classified","Mediastinal disease","519.3",,1,1
"Diagnostic codes for lung and thoracic disease","Mediastinal disease: benign,","16.05.11","D15.2","Benign neoplasm: Mediastinum",,"D15.2","Benign neoplasm of mediastinum","Mediastinal disease, Benign","212.5",,1,1
"Diagnostic codes for lung and thoracic disease","Mediastinal disease: malignant,","16.05.12","C38.3","Malignant neoplasm: Mediastinum, part unspecified",,"C38.3","Malignant neoplasm of mediastinum, part unspecified","Mediastinal disease, Malignant","164.9",,1,1
"Diagnostic codes for lung and thoracic disease","Diaphragm disease,","16.15.09","J98.6","Disorders of diaphragm",,"J98.6","Disorders of diaphragm","Diaphragm disease, Other","519.4",,1,1
"Diagnostic codes for lung and thoracic disease","Diaphragm disorder: acquired,","16.13.00","J98.6","Disorders of diaphragm",,"J98.6","Disorders of diaphragm","Diaphragm disease, Other","553.3",,2,2
"Diagnostic codes for lung and thoracic disease","Diaphragm paralysis,","16.13.20","J98.6","Disorders of diaphragm",,"J98.6","Disorders of diaphragm","Diaphragm paralysis","519.4",,3,3
"Diagnostic codes for lung and thoracic disease","Musculoskeletal chest pain,","10.18.52","M62.8",,,,,"Miscellaneous, Other","729.9",,19,1
"Diagnostic codes for symptoms and signs","Symptom-sign of heart disease,","10.17.00","R09.8","Other specified symptoms and signs involving the circulatory and respiratory systems",,"R09.88","Other specified symptoms and signs involving the circulatory system","Miscellaneous, Other","785.9",,1,1
"Diagnostic codes for symptoms and signs","Syncope,","10.40.01","R55","Syncope and collapse",,"R55","Syncope and collapse","Miscellaneous, Other","780.2",,1,1
"Diagnostic codes for symptoms and signs","Cyanosis,","10.17.03","R23.0","Cyanosis",,"R23.0","Cyanosis","Miscellaneous, Other","782.5",,1,1
"Diagnostic codes for symptoms and signs","Heart failure,","10.17.05","I50.9","Heart failure, unspecified",,"I50.9","Heart failure, unspecified","Cardiac, Other","428.9",,2,2
"Diagnostic codes for symptoms and signs","Cyanotic spells,","10.17.12","R09.8","Other specified symptoms and signs involving the circulatory and respiratory systems",,"R09.88","Other specified symptoms and signs involving the circulatory system","Cardiac, Other","785.9",,2,2
"Diagnostic codes for symptoms and signs","Palpitations,","10.17.13","R00.2","Palpitations",,"R00.2","Palpitations","Miscellaneous, Other","785.1",,1,1
"Diagnostic codes for symptoms and signs","Chest pain,","10.12.42","R07.4","Chest pain, unspecified",,"R07.4","Chest pain, unspecified","Miscellaneous, Other","786.5",,1,1
"Diagnostic codes for symptoms and signs","Failure to thrive,","10.12.39","R62.8","Other lack of expected normal physiological development",,"R62.8","Other lack of expected normal physiological development","Miscellaneous, Other","783.4",,1,1
"Diagnostic codes for symptoms and signs","Hypotension,","10.40.30","I95.9","Hypotension, unspecified",,"I95.9","Hypotension, unspecified","Miscellaneous, Other","458.9",,1,1
"Diagnostic codes for symptoms and signs","Angina pectoris,","10.12.51","I20.9","Angina pectoris, unspecified",,"I20.9","Angina pectoris, unspecified","Cardiac, Other","413",,1,1
"Diagnostic codes for symptoms and signs","Shock,","10.17.23","R57.9","Shock, unspecified",,"R57.9","Shock, unspecified","Miscellaneous, Other","785.5",,1,1
"Diagnostic codes for symptoms and signs","Cardiac symptom without pathology,","10.17.09","R09.8","Other specified symptoms and signs involving the circulatory and respiratory systems",,"R09.88","Other specified symptoms and signs involving the circulatory system",,"785.9",,3,3
"Diagnostic codes for Preoperative Risk Factors","No pre-procedural risk factors,","10.20.00","nc",,,,,"None","nc",,20,10
"Diagnostic codes for Preoperative Risk Factors","Preprocedural risk factor,","10.20.19","nc",,,,,"Other preoperative risk factor","nc",,21,11
"Diagnostic codes for Preoperative Risk Factors","Weight less than 2.5 kg,","10.22.07","P07.1","Other low birth weight",,"P07.11, P07.12, P07.13","Multiple codes (could be any of these)","Other preoperative risk factor","765.1",,1,1
"Diagnostic codes for Preoperative Risk Factors","Obesity (Body Mass Index over 30),","14.03.59","E66.9","Obesity, unspecified",,"E66.90","Obesity, not elsewhere classified, body mass index [BMI] not elsewhere classified","Other preoperative risk factor","278",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural arrhythmia,","10.20.03","I49.9","Cardiac arrhythmia, unspecified",,"I49.9","Cardiac arrhythmia, unspecified","Preoperative arrhythmia","427.9",,2,2
"Diagnostic codes for Preoperative Risk Factors","Preprocedural complete atrioventricular block,","11.06.35","I44.2","Atrioventricular block, complete",,"I44.2","Atrioventricular block, complete","Preoperative complete AV block","426",,3,3
"Diagnostic codes for Preoperative Risk Factors","Preprocedural shock,","10.20.02","R57.0","Cardiogenic shock",,"R57.0","Cardiogenic shock","Preoperative shock","785.5",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural shock at time of surgery (persistent),","10.20.31","R57.0","Cardiogenic shock",,"R57.0","Cardiogenic shock","Preoperative shock - persistent","785.5",,2,2
"Diagnostic codes for Preoperative Risk Factors","Preprocedural shock resolved by time of surgery,","10.20.32","R57.0","Cardiogenic shock",,"R57.0","Cardiogenic shock","Preoperative shock - resolved","785.5",,3,3
"Diagnostic codes for Preoperative Risk Factors","Preprocedural cardiopulmonary resuscitation (less than 48 hours),","10.20.33","I46.9","Cardiac arrest, unspecified",,"I46.9","Cardiac arrest, unspecified","Preoperative shock","427.5",,2,2
"Diagnostic codes for Preoperative Risk Factors","Preprocedural acidosis,","10.20.05","E87.8","Other disorders of electrolyte and fluid balance, not elsewhere classified",,"E87.8","Other disorders of electrolyte and fluid balance, not elsewhere classified","Preoperative acidosis","276.9",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural myocardial dysfunction,","10.20.34","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Other preoperative risk factor","429.8",,19,19
"Diagnostic codes for Preoperative Risk Factors","Preprocedural pulmonary hypertension,","10.20.16","J95.8","Other postprocedural respiratory disorders",,"I27.0","Primary pulmonary hypertension","Preoperative pulmonary hypertensive crises (PA pressure > systemic pressure)","518.5",,3,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural pulmonary hypertension (pulmonary pressure more than or equal to systemic pressure): echo data,","10.20.45","J95.8","Other postprocedural respiratory disorders",,"I27.0","Primary pulmonary hypertension","arterial pressure) - Data source = ECHO","518.5",,4,2
"Diagnostic codes for Preoperative Risk Factors","Preprocedural pulmonary hypertension (pulmonary pressure more than or equal to systemic pressure): catheter data,","10.20.46","J95.8","Other postprocedural respiratory disorders",,"I27.0","Primary pulmonary hypertension","arterial pressure) - Data source = CATH","518.5",,5,3
"Diagnostic codes for Preoperative Risk Factors","Elevated lung resistance for biventricular repair (over 6 Wood units),","10.13.63","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases","Other preoperative risk factor","416.8",,5,5
"Diagnostic codes for Preoperative Risk Factors","Elevated lung resistance for heart transplant (over 4 Wood units),","10.13.64","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases","Other preoperative risk factor","416.8",,6,6
"Diagnostic codes for Preoperative Risk Factors","Elevated lung resistance for univentricular repair (over 2 Wood units),","10.13.65","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases","Other preoperative risk factor","416.8",,7,7
"Diagnostic codes for Preoperative Risk Factors","Preprocedural respiratory syncytial virus (RSV) infection,","10.20.37","J12.1","Respiratory syncytial virus pneumonia",,"J12.1","Respiratory syncytial virus pneumonia","Other preoperative risk factor","465.9",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural mechanical ventilatory support,","10.20.14","Z99.1","Dependence on respirator",,"Z99.1","Dependence on respirator","Preoperative mechanical ventilatory support","V46.1",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural tracheostomy,","10.20.17","Z93.0","Tracheostomy status",,"Z93.0","Tracheostomy status","Preoperative tracheostomy","V44.0",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural renal failure (creatinine over 176micromol/l),","10.20.07","N17.9","Acute renal failure, unspecified",,"N17.9","Acute kidney failure, unspecified","Preoperative renal failure (creatinine > 2)","584.9",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural renal failure requiring dialysis,","10.20.08","Z99.2","Dependence on renal dialysis",,"Z99.2","Dependence on renal dialysis","Preoperative renal failure requiring dialysis","V45.1",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural necrotising enterocolitis: treated medically,","10.20.38","P77","Necrotizing enterocolitis of fetus and newborn",,"P77","Necrotising enterocolitis of fetus and newborn","Other preoperative risk factor","777.5",,2,2
"Diagnostic codes for Preoperative Risk Factors","Preprocedural necrotising enterocolitis: treated surgically,","10.20.39","P77","Necrotizing enterocolitis of fetus and newborn",,"P77","Necrotising enterocolitis of fetus and newborn","Other preoperative risk factor","777.5",,3,3
"Diagnostic codes for Preoperative Risk Factors","Preprocedural coagulation disorder,","10.20.06","D68.9","Coagulation defect, unspecified",,"D68.9","Coagulation defect, unspecified","Preoperative bleeding disorder","286.9",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural mechanical circulatory support,","10.20.15","Z99.8","Dependence on other enabling machines and devices",,"Z99.8","Dependence on other enabling machines and devices","Preoperative mechanical circulatory support (IABP, VAD, ECMO, or CPS)","V46.8",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural septicaemia,","10.20.09","A41.9","Sepsis, unspecified",,"A41.9","Sepsis, unspecified","Preoperative septicemia","038.9",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural endocarditis,","10.06.65","I33.0","Acute and subacute infective endocarditis",,"I33.0","Acute and subacute infective endocarditis","Preoperative endocarditis","421",,5,5
"Diagnostic codes for Preoperative Risk Factors","Preprocedural neurological impairment,","10.20.12","G93.9","Disorder of brain, unspecified",,"G93.9","Disorder of brain, unspecified","Preoperative neurological deficit","348.9",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural seizures,","10.20.18","R56.8","Other and unspecified convulsions",,"R56.8","Other and unspecified convulsions","Preoperative seizures","345.9",,1,1
"Diagnostic codes for Preoperative Risk Factors","Preprocedural cerebral abnormality on imaging,","10.20.13","R90.8","Other abnormal findings on diagnostic imaging of central nervous system",,"R90.8","Other abnormal findings on diagnostic imaging of central nervous system","Other preoperative risk factor","793",,1,1
"Diagnostic codes for Preoperative Risk Factors","Diabetes mellitus,","14.03.90","E14",,,,,"Other preoperative risk factor","250",,22,1
"Diagnostic codes for Preoperative Risk Factors","Hypothyroidism,","14.03.52","E03.9","Hypothyroidism, unspecified",,"E03.9","Hypothyroidism, unspecified","Other preoperative risk factor","244.9",,1,1
"Diagnostic codes for Preoperative Risk Factors","Hyperthyroidism,","14.03.75","E05.9","Thyrotoxicosis, unspecified",,"E05.9","Thyrotoxicosis, unspecified","Other preoperative risk factor","242.9",,1,1
"Diagnostic codes for Preoperative Risk Factors","Smoking: tobacco use,","14.04.70","Z72.0","Tobacco use",,"Z72.0","Tobacco use, current","Other preoperative risk factor","V15.8",,1,1
"Codes for diagnostic procedures","Clinical evaluation of patient,","13.00.01",,,,,,,,,23,1
"Codes for diagnostic procedures","Diagnostic investigation,","13.00.02",,,,,,,,,24,2
"Codes for diagnostic procedures","Electrocardiogram (ECG),","13.00.10",,,,,,,,,25,3
"Codes for diagnostic procedures","Ambulatory electrocardiography (ECG) recording,","13.00.17",,,,,,,,,26,4
"Codes for diagnostic procedures","24 hour electrocardiogram (ECG) recording,","13.00.11",,,,,,,,,27,5
"Codes for diagnostic procedures","Insertable electrocardiogram (ECG) loop recorder (e.g. Reveal) implantation,","13.00.14",,,,,,,,,28,6
"Codes for diagnostic procedures","Insertable electrocardiogram (ECG) loop recorder (e.g. Reveal) removal,","13.00.15",,,,,,,,,29,7
"Codes for diagnostic procedures","Arrhythmia provocation test,","13.00.50",,,,,,,,,30,8
"Codes for diagnostic procedures","Tilt table testing,","13.00.27",,,,,,,,,31,9
"Codes for diagnostic procedures","Exercise stress test,","13.00.13",,,,,,,,,32,10
"Codes for diagnostic procedures","Cardiopulmonary exercise stress test,","13.00.16",,,,,,,,,33,11
"Codes for diagnostic procedures","Ambulatory blood pressure monitoring,","13.00.36",,,,,,,,,34,12
"Codes for diagnostic procedures","Chest x-ray,","13.00.21",,,,,,,,,35,13
"Codes for diagnostic procedures","Echocardiographic examination,","13.01.00",,,,,,,,,36,14
"Codes for diagnostic procedures","Transthoracic echocardiographic examination,","13.01.02",,,,,,"Echocardiography procedure, Sedated transthoracic echocardiogram",,,37,15
"Codes for diagnostic procedures","Transoesophageal echocardiographic examination,","13.01.03",,,,,,"Echocardiography procedure, Sedated transesophageal echocardiogram",,,38,16
"Codes for diagnostic procedures","Epicardial echocardiographic examination,","13.01.04",,,,,,,,,39,17
"Codes for diagnostic procedures","Transluminal intracardiac echocardiographic examination,","13.01.24",,,,,,,,,40,18
"Codes for diagnostic procedures","Intravascular ultrasound (IVUS) examination,","13.01.27",,,,,,,,,41,19
"Codes for diagnostic procedures","Transluminal intracoronary echocardiography (IVUS),","12.23.41",,,,,,,,,42,20
"Codes for diagnostic procedures","Computerised tomographic scan of chest,","13.00.23",,,,,,"Radiology procedure on cardiac patient, Cardiac Computerized Axial Tomography (CT Scan)",,,43,21
"Codes for diagnostic procedures","Non-cardiac computed tomographic angiography on cardiac patient,","13.00.32",,,,,,"Radiology procedure on cardiac patient, Non-Cardiac Computerized Tomography (CT) on cardiac patient",,,44,22
"Codes for diagnostic procedures","Cardiovascular Magnetic Resonance Imaging (CMRI),","13.00.24",,,,,,"Radiology procedure on cardiac patient, Cardiac Magnetic Resonance Imaging (MRI)",,,45,23
"Codes for diagnostic procedures","Non-cardiovascular Magnetic Resonance Imaging on cardiac patient,","13.00.33",,,,,,"Radiology procedure on cardiac patient, Non-cardiac Magnetic Resonance Imaging (MRI) on cardiac patient",,,46,24
"Codes for diagnostic procedures","Myocardial perfusion scan,","13.00.31",,,,,,,,,47,25
"Codes for diagnostic procedures","Exploratory procedure to assess heart,","12.32.03",,,,,,,,,48,26
"Codes for diagnostic procedures","Post mortem examination of heart-lungs,","13.00.71",,,,,,,,,49,27
"Codes for diagnostic procedures","Pulmonary Function Tests,","13.00.25",,,,,,,,,50,28
"Codes for diagnostic procedures","Diagnostic cardiovascular catheterisation procedure,","13.05.01",,,,,,,,,51,29
"Codes for diagnostic procedures","Diagnostic radiographic procedure on cardiac patient,","13.00.34",,,,,,"Radiology procedure on cardiac patient, Diagnostic radiology",,,52,30
"Codes for diagnostic procedures","Therapeutic radiological procedure on cardiac patient,","13.00.35",,,,,,"Radiology procedure on cardiac patient, Therapeutic radiology",,,53,31
"Codes for diagnostic procedures","- with sedation,","Q5.85.30",,,,,,,,,54,32
"Diagnostic qualifier codes","- status: post-procedure,","Q1.90.51",,,,,,,,,55,33
"Diagnostic qualifier codes","- diagnosis uncertain,","Q1.90.67",,,,,,,,,56,34
"Diagnostic qualifier codes","- status: post heart transplant,","Q1.91.80",,,,,,"Status post transplant, Heart",,,57,35
"Diagnostic qualifier codes","- status: post heart & lung(s) transplant,","Q1.91.81",,,,,,"Status post transplant, Heart and lung",,,58,36
"Diagnostic qualifier codes","- status: post lung(s) transplant,","Q1.91.82",,,,,,"Status post transplant, Lung",,,59,37
"Codes for operations and interventions","Medical therapy for cardiovascular disease,","17.00.01",,,,,,,,,60,38
"Codes for operations and interventions","Medical therapy for endocarditis,","17.10.02",,,,,,,,,61,39
"Codes for operations and interventions","Cardiopulmonary bypass used during procedure,","12.00.90",,,,,,,,,62,40
"Codes for operations and interventions","Cardiopulmonary bypass not used during procedure,","12.00.91",,,,,,,,,63,41
"Codes for operations and interventions","Reoperation,","12.43.00",,,,,,,,,64,42
"Codes for operations and interventions","Unplanned reoperation during current admission,","15.43.06",,,,,,"Reoperation during this admission (unplanned reoperation)",,,65,43
"Codes for operations and interventions","Cardiopulmonary bypass for non-cardiac lesion,","12.00.92",,,,,,"Bypass for non-cardiac lesion",,,66,44
"Codes for operations and interventions","Thoracoscopic approach (VATS),","12.40.06",,,,,,"VATS (video assisted thoracoscopic surgery)",,,67,45
"Codes for operations and interventions","Minimally invasive procedure,","12.40.13",,,,,,"Minimally invasive procedure",,,68,46
"Codes for operations and interventions","Robotic surgical approach,","12.40.15",,,,,,"Minimally invasive procedure",,,69,47
"Codes for operations and interventions","Median sternotomy: redo x 1-3,","12.40.29",,,,,,,,,70,48
"Codes for operations and interventions","Median sternotomy: redo x 4 or more,","12.40.30",,,,,,,,,71,49
"Codes for operations and interventions","Thoracotomy,","12.40.00",,,,,,"Thoracotomy, Other",,,72,50
"Codes for operations and interventions","Thoracotomy: redo,","12.40.16",,,,,,"Thoracotomy, Other",,,73,51
"Codes for operations and interventions","Cardiac incision,","12.40.99",,,,,,"Cardiotomy, Other",,,74,52
"Codes for operations and interventions","- transatrial approach,","Q5.08.11",,,,,,,,,75,53
"Codes for operations and interventions","- trans-right ventricular approach,","Q5.08.13",,,,,,,,,76,54
"Great vein procedures","Pulmonary vein procedure,","12.00.20",,,,,,"Cardiac procedure, Other",,,77,55
"Great vein procedures","Totally anomalous pulmonary venous connection repair,","12.00.00",,,,,,"TAPVC repair",,,78,56
"Great vein procedures","Partially anomalous pulmonary venous connection repair,","12.00.02",,,,,,"PAPVC repair",,,79,57
"Great vein procedures","Scimitar syndrome (partially anomalous pulmonary venous connection) repair,","12.00.17",,,,,,"PAPVC, Scimitar, Repair",,,80,58
"Great vein procedures","Partially anomalous pulmonary venous connection repair: baffle redirection to left atrium & systemic vein translocated to right atrial appendage (Warden),","12.00.78",,,,,,"PAPVC repair, Baffle redirection to left atrium with systemic vein translocation (Warden) (SVC sewn to right atrial appendage)",,,81,59
"Great vein procedures","Pulmonary vein stenosis repair,","12.00.03",,,,,,"Pulmonary venous stenosis repair",,,82,60
"Great vein procedures","Pulmonary venous pathway procedure (post Senning-Mustard),","12.29.52",,,,,,"Cardiac procedure, Other",,,83,61
"Great vein procedures","Systemic vein procedure,","12.00.30",,,,,,"Cardiac procedure, Other",,,84,62
"Great vein procedures","Superior caval vein (SVC) procedure,","12.00.39",,,,,,"Cardiac procedure, Other",,,85,63
"Great vein procedures","Inferior caval vein (IVC) procedure,","12.00.42",,,,,,"Cardiac procedure, Other",,,86,64
"Great vein procedures","Anomalous systemic venous connection repair,","12.00.81",,,,,,"Anomalous systemic venous connection repair",,,87,65
"Great vein procedures","Systemic venous stenosis repair,","12.00.83",,,,,,"Systemic venous stenosis repair",,,88,66
"Great vein procedures","Systemic venous pathway procedure (post Senning-Mustard),","12.00.29",,,,,,"Cardiac procedure, Other",,,89,67
"Great vein procedures","Coronary sinus procedure,","12.00.50",,,,,,"Cardiac procedure, Other",,,90,68
"Atrial Procedures","Right atrial procedure,","12.01.60",,,,,,"Cardiac procedure, Other",,,91,69
"Atrial Procedures","Left atrial procedure,","12.01.30",,,,,,"Cardiac procedure, Other",,,92,70
"Atrial Procedures","Cor triatriatum (divided left atrium) repair,","12.01.31",,,,,,"Cor triatriatum repair",,,93,71
"Atrial Procedures","Patent foramen ovale (PFO) direct closure,","12.01.53",,,,,,"PFO, primary closure",,,94,72
"Atrial Procedures","Interatrial communication closure,","12.01.00",,,,,,"ASD repair",,,95,73
"Atrial Procedures","Atrial septal defect (ASD) secundum closure,","12.01.01",,,,,,"ASD repair",,,96,74
"Atrial Procedures","Atrial septal defect (ASD) secundum closure with direct suture,","12.01.02",,,,,,"ASD repair, Primary closure",,,97,75
"Atrial Procedures","Atrial septal defect (ASD) secundum closure with patch,","12.01.03",,,,,,"ASD repair, Patch",,,98,76
"Atrial Procedures","Sinus venosus defect (ASD) closure,","12.01.10",,,,,,"ASD repair",,,99,77
"Atrial Procedures","Interatrial communication closure: partial,","12.01.08",,,,,,"ASD partial closure",,,100,78
"Atrial Procedures","Coronary sinus interatrial communication (ASD) repair,","12.00.55",,,,,,"ASD repair",,,101,79
"Atrial Procedures","Atrial fenestration closure,","12.30.41",,,,,,"Atrial fenestration closure",,,102,80
"Atrial Procedures","Interatrial communication creation-enlargement,","12.01.90",,,,,,"ASD creation-enlargement",,,103,81
"Atrial Procedures","Atrial septectomy: closed (Blalock Hanlon),","12.01.42",,,,,,"ASD creation-enlargement",,,104,82
"Atrial Procedures","Atrial septectomy,","12.01.43",,,,,,"ASD creation-enlargement",,,105,83
"Atrial Procedures","Fenestration of atrial septum,","12.30.20",,,,,,"Atrial septal fenestration",,,106,84
"Atrial Procedures","Atrial septation procedure,","12.01.22",,,,,,"ASD, Common atrium (single atrium), Septation",,,107,85
"Atrial Procedures","Atrial baffle procedure,","12.01.57",,,,,,"Atrial baffle procedure (non-Mustard, non-Senning)",,,108,86
"Atrial Procedures","Interatrial communication left open,","12.01.80",,,,,,,,,109,87
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular valvar repair,","12.90.01",,,,,,"Cardiac procedure, Other",,,110,88
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valvar procedure,","12.02.00",,,,,,"Valve surgery, Other, Tricuspid",,,111,89
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valvar annuloplasty,","12.02.04",,,,,,"Valve surgery, Other, Tricuspid",,,112,90
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid leaflet (valvoplasty) procedure,","12.02.02",,,,,,"Valvuloplasty, Tricuspid",,,113,91
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valvar replacement,","12.02.11",,,,,,"Valve replacement, Tricuspid (TVR)",,,114,92
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valve repair converted to tricuspid valvar replacement,","12.02.83",,,,,,"Valvuloplasty converted to valve replacement in the same operation, Tricuspid",,,115,93
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valvar closure,","12.02.70",,,,,,"Valve closure, Tricuspid (exclusion, univentricular approach)",,,116,94
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valvectomy,","12.02.22",,,,,,"Valve excision, Tricuspid (without replacement)",,,117,95
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Ebstein's malformation of tricuspid valve repair,","12.02.09",,,,,,"Ebstein's repair",,,118,96
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral valvar procedure,","12.03.00",,,,,,"Valve surgery, Other, Mitral",,,119,97
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral valvar annuloplasty,","12.03.04",,,,,,"Valve surgery, Other, Mitral",,,120,98
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral leaflet (valvoplasty) procedure,","12.03.03",,,,,,"Valvuloplasty, Mitral",,,121,99
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral valvotomy,","12.03.01",,,,,,"Valve surgery, Other, Mitral",,,122,100
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral valvar replacement,","12.03.11",,,,,,"Valve replacement, Mitral (MVR)",,,123,101
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral valve repair converted to mitral valvar replacement,","12.03.84",,,,,,"Valvuloplasty converted to valve replacement in the same operation, Mitral",,,124,102
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Supra-mitral valvar LA-ring excision,","12.01.32",,,,,,"Mitral stenosis, Supravalvar mitral ring repair",,,125,103
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral subvalvar apparatus procedure,","12.03.19",,,,,,"Valve surgery, Other, Mitral",,,126,104
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular valvar procedure in double inlet ventricle,","12.46.00",,,,,,"Cardiac procedure, Other",,,127,105
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular septal defect procedure,","12.04.00",,,,,,"AVC (AVSD) repair",,,128,106
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular septal defect (AVSD): partial (primum ASD) repair,","12.04.01",,,,,,"AVC (AVSD) repair, Partial (Incomplete) (PAVSD)",,,129,107
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular septal defect (AVSD): complete (common valve orifice) repair,","12.05.01",,,,,,"AVC (AVSD) repair, Complete (CAVSD)",,,130,108
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular septal defect (AVSD): 'intermediate' repair,","12.05.10",,,,,,"AVC (AVSD) repair, Intermediate (Transitional)",,,131,109
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular septal defect (AVSD): partial with isolated ventricular component (VSD) repair,","12.04.09",,,,,,"VSD repair",,,132,110
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Common atrioventricular valvar leaflet (valvoplasty) procedure,","12.48.01",,,,,,"Valvuloplasty, Common atrioventricular valve",,,133,111
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular septal defect (AVSD): right atrioventricular valvar procedure,","12.04.20",,,,,,"Valvuloplasty, Tricuspid",,,134,112
