"","epcc_name","epcc_code","icd_9","icd_9_additional","icd_10","icd_10_additional","sts_name","section_name","section_seq","icd10_seq","icd10_seq_max"
"613","Preprocedural endocarditis,","10.06.65","421.0",NA,"I33.0",NA,"Preoperative endocarditis","Diagnostic codes for Preoperative Risk Factors","30",5,5
"614","Preprocedural neurological impairment,","10.20.12","348.9",NA,"G93.9",NA,"Preoperative neurological deficit","Diagnostic codes for Preoperative Risk Factors","31",1,1
"615","Preprocedural seizures,","10.20.18","345.9",NA,"R56.8",NA,"Preoperative seizures","Diagnostic codes for Preoperative Risk Factors","32",1,1
"616","Preprocedural cerebral abnormality on imaging,","10.20.13","793",NA,"R90.8",NA,"Other preoperative risk factor","Diagnostic codes for Preoperative Risk Factors","33",1,1
"617","Diabetes mellitus,","14.03.90","250.0",NA,"E14",NA,"Other preoperative risk factor","Diagnostic codes for Preoperative Risk Factors","34",1,1
"618","Hypothyroidism,","14.03.52","244.9",NA,"E03.9",NA,"Other preoperative risk factor","Diagnostic codes for Preoperative Risk Factors","35",1,1
"619","Hyperthyroidism,","14.03.75","242.9",NA,"E05.9",NA,"Other preoperative risk factor","Diagnostic codes for Preoperative Risk Factors","36",1,1
"620","Smoking: tobacco use,","14.04.70","V15.8",NA,"Z72.0",NA,"Other preoperative risk factor","Diagnostic codes for Preoperative Risk Factors","37",1,1
"621","Clinical evaluation of patient,","13.00.01",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","2",1,531
"622","Diagnostic investigation,","13.00.02",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","3",2,531
"623","Electrocardiogram (ECG),","13.00.10",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","4",3,531
"624","Ambulatory electrocardiography (ECG) recording,","13.00.17",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","5",4,531
"625","24 hour electrocardiogram (ECG) recording,","13.00.11",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","6",5,531
"626","Insertable electrocardiogram (ECG) loop recorder (e.g. Reveal) implantation,","13.00.14",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","7",6,531
"627","Insertable electrocardiogram (ECG) loop recorder (e.g. Reveal) removal,","13.00.15",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","8",7,531
"628","Arrhythmia provocation test,","13.00.50",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","9",8,531
"629","Tilt table testing,","13.00.27",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","10",9,531
"630","Exercise stress test,","13.00.13",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","11",10,531
"631","Cardiopulmonary exercise stress test,","13.00.16",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","12",11,531
"632","Ambulatory blood pressure monitoring,","13.00.36",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","13",12,531
"633","Chest x-ray,","13.00.21",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","14",13,531
"634","Echocardiographic examination,","13.01.00",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","15",14,531
"635","Transthoracic echocardiographic examination,","13.01.02",NA,NA,NA,NA,"Echocardiography procedure, Sedated transthoracic echocardiogram","Codes for diagnostic procedures","16",15,531
"636","Transoesophageal echocardiographic examination,","13.01.03",NA,NA,NA,NA,"Echocardiography procedure, Sedated transesophageal echocardiogram","Codes for diagnostic procedures","17",16,531
"637","Epicardial echocardiographic examination,","13.01.04",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","18",17,531
"638","Transluminal intracardiac echocardiographic examination,","13.01.24",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","19",18,531
"639","Intravascular ultrasound (IVUS) examination,","13.01.27",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","20",19,531
"640","Transluminal intracoronary echocardiography (IVUS),","12.23.41",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","21",20,531
"641","Computerised tomographic scan of chest,","13.00.23",NA,NA,NA,NA,"Radiology procedure on cardiac patient, Cardiac Computerized Axial Tomography (CT Scan)","Codes for diagnostic procedures","23",21,531
"642","Non-cardiac computed tomographic angiography on cardiac patient,","13.00.32",NA,NA,NA,NA,"Radiology procedure on cardiac patient, Non-Cardiac Computerized Tomography (CT) on cardiac patient","Codes for diagnostic procedures","25",22,531
"643","Cardiovascular Magnetic Resonance Imaging (CMRI),","13.00.24",NA,NA,NA,NA,"Radiology procedure on cardiac patient, Cardiac Magnetic Resonance Imaging (MRI)","Codes for diagnostic procedures","27",23,531
"644","Non-cardiovascular Magnetic Resonance Imaging on cardiac patient,","13.00.33",NA,NA,NA,NA,"Radiology procedure on cardiac patient, Non-cardiac Magnetic Resonance Imaging (MRI) on cardiac patient","Codes for diagnostic procedures","29",24,531
"645","Myocardial perfusion scan,","13.00.31",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","30",25,531
"646","Exploratory procedure to assess heart,","12.32.03",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","31",26,531
"647","Post mortem examination of heart-lungs,","13.00.71",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","32",27,531
"648","Pulmonary Function Tests,","13.00.25",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","33",28,531
"649","Diagnostic cardiovascular catheterisation procedure,","13.05.01",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","34",29,531
"650","Diagnostic radiographic procedure on cardiac patient,","13.00.34",NA,NA,NA,NA,"Radiology procedure on cardiac patient, Diagnostic radiology","Codes for diagnostic procedures","35",30,531
"651","Therapeutic radiological procedure on cardiac patient,","13.00.35",NA,NA,NA,NA,"Radiology procedure on cardiac patient, Therapeutic radiology","Codes for diagnostic procedures","36",31,531
"652","- with sedation,","Q5.85.30",NA,NA,NA,NA,NA,"Codes for diagnostic procedures","37",32,531
"653","- status: post-procedure,","Q1.90.51",NA,NA,NA,NA,NA,"Diagnostic qualifier codes","2",33,531
"654","- diagnosis uncertain,","Q1.90.67",NA,NA,NA,NA,NA,"Diagnostic qualifier codes","3",34,531
"655","- status: post heart transplant,","Q1.91.80",NA,NA,NA,NA,"Status post transplant, Heart","Diagnostic qualifier codes","4",35,531
"656","- status: post heart & lung(s) transplant,","Q1.91.81",NA,NA,NA,NA,"Status post transplant, Heart and lung","Diagnostic qualifier codes","5",36,531
"657","- status: post lung(s) transplant,","Q1.91.82",NA,NA,NA,NA,"Status post transplant, Lung","Diagnostic qualifier codes","6",37,531
"658","Medical therapy for cardiovascular disease,","17.00.01",NA,NA,NA,NA,NA,"Codes for operations and interventions","2",38,531
"659","Medical therapy for endocarditis,","17.10.02",NA,NA,NA,NA,NA,"Codes for operations and interventions","3",39,531
"660","Cardiopulmonary bypass used during procedure,","12.00.90",NA,NA,NA,NA,NA,"Codes for operations and interventions","4",40,531
"661","Cardiopulmonary bypass not used during procedure,","12.00.91",NA,NA,NA,NA,NA,"Codes for operations and interventions","5",41,531
"662","Reoperation,","12.43.00",NA,NA,NA,NA,NA,"Codes for operations and interventions","6",42,531
"663","Unplanned reoperation during current admission,","15.43.06",NA,NA,NA,NA,"Reoperation during this admission (unplanned reoperation)","Codes for operations and interventions","7",43,531
"664","Cardiopulmonary bypass for non-cardiac lesion,","12.00.92",NA,NA,NA,NA,"Bypass for non-cardiac lesion","Codes for operations and interventions","8",44,531
"665","Thoracoscopic approach (VATS),","12.40.06",NA,NA,NA,NA,"VATS (video assisted thoracoscopic surgery)","Codes for operations and interventions","9",45,531
"666","Minimally invasive procedure,","12.40.13",NA,NA,NA,NA,"Minimally invasive procedure","Codes for operations and interventions","10",46,531
"667","Robotic surgical approach,","12.40.15",NA,NA,NA,NA,"Minimally invasive procedure","Codes for operations and interventions","11",47,531
"668","Median sternotomy: redo x 1-3,","12.40.29",NA,NA,NA,NA,NA,"Codes for operations and interventions","12",48,531
"669","Median sternotomy: redo x 4 or more,","12.40.30",NA,NA,NA,NA,NA,"Codes for operations and interventions","13",49,531
"670","Thoracotomy,","12.40.00",NA,NA,NA,NA,"Thoracotomy, Other","Codes for operations and interventions","14",50,531
"671","Thoracotomy: redo,","12.40.16",NA,NA,NA,NA,"Thoracotomy, Other","Codes for operations and interventions","15",51,531
"672","Cardiac incision,","12.40.99",NA,NA,NA,NA,"Cardiotomy, Other","Codes for operations and interventions","16",52,531
"673","- transatrial approach,","Q5.08.11",NA,NA,NA,NA,NA,"Codes for operations and interventions","17",53,531
"674","- trans-right ventricular approach,","Q5.08.13",NA,NA,NA,NA,NA,"Codes for operations and interventions","18",54,531
"675","Pulmonary vein procedure,","12.00.20",NA,NA,NA,NA,"Cardiac procedure, Other","Great vein procedures","2",55,531
"676","Totally anomalous pulmonary venous connection repair,","12.00.00",NA,NA,NA,NA,"TAPVC repair","Great vein procedures","3",56,531
"677","Partially anomalous pulmonary venous connection repair,","12.00.02",NA,NA,NA,NA,"PAPVC repair","Great vein procedures","4",57,531
"678","Scimitar syndrome (partially anomalous pulmonary venous connection) repair,","12.00.17",NA,NA,NA,NA,"PAPVC, Scimitar, Repair","Great vein procedures","5",58,531
"679","Partially anomalous pulmonary venous connection repair: baffle redirection to left atrium & systemic vein translocated to right atrial appendage (Warden),","12.00.78",NA,NA,NA,NA,"PAPVC repair, Baffle redirection to left atrium with systemic vein translocation (Warden) (SVC sewn to right atrial appendage)","Great vein procedures","7",59,531
"680","Pulmonary vein stenosis repair,","12.00.03",NA,NA,NA,NA,"Pulmonary venous stenosis repair","Great vein procedures","8",60,531
"681","Pulmonary venous pathway procedure (post Senning-Mustard),","12.29.52",NA,NA,NA,NA,"Cardiac procedure, Other","Great vein procedures","9",61,531
"682","Systemic vein procedure,","12.00.30",NA,NA,NA,NA,"Cardiac procedure, Other","Great vein procedures","10",62,531
"683","Superior caval vein (SVC) procedure,","12.00.39",NA,NA,NA,NA,"Cardiac procedure, Other","Great vein procedures","11",63,531
"684","Inferior caval vein (IVC) procedure,","12.00.42",NA,NA,NA,NA,"Cardiac procedure, Other","Great vein procedures","12",64,531
"685","Anomalous systemic venous connection repair,","12.00.81",NA,NA,NA,NA,"Anomalous systemic venous connection repair","Great vein procedures","13",65,531
"686","Systemic venous stenosis repair,","12.00.83",NA,NA,NA,NA,"Systemic venous stenosis repair","Great vein procedures","14",66,531
"687","Systemic venous pathway procedure (post Senning-Mustard),","12.00.29",NA,NA,NA,NA,"Cardiac procedure, Other","Great vein procedures","15",67,531
"688","Coronary sinus procedure,","12.00.50",NA,NA,NA,NA,"Cardiac procedure, Other","Great vein procedures","16",68,531
"689","Right atrial procedure,","12.01.60",NA,NA,NA,NA,"Cardiac procedure, Other","Atrial Procedures","2",69,531
"690","Left atrial procedure,","12.01.30",NA,NA,NA,NA,"Cardiac procedure, Other","Atrial Procedures","3",70,531
"691","Cor triatriatum (divided left atrium) repair,","12.01.31",NA,NA,NA,NA,"Cor triatriatum repair","Atrial Procedures","4",71,531
"692","Patent foramen ovale (PFO) direct closure,","12.01.53",NA,NA,NA,NA,"PFO, primary closure","Atrial Procedures","5",72,531
"693","Interatrial communication closure,","12.01.00",NA,NA,NA,NA,"ASD repair","Atrial Procedures","6",73,531
"694","Atrial septal defect (ASD) secundum closure,","12.01.01",NA,NA,NA,NA,"ASD repair","Atrial Procedures","7",74,531
"695","Atrial septal defect (ASD) secundum closure with direct suture,","12.01.02",NA,NA,NA,NA,"ASD repair, Primary closure","Atrial Procedures","8",75,531
"696","Atrial septal defect (ASD) secundum closure with patch,","12.01.03",NA,NA,NA,NA,"ASD repair, Patch","Atrial Procedures","9",76,531
"697","Sinus venosus defect (ASD) closure,","12.01.10",NA,NA,NA,NA,"ASD repair","Atrial Procedures","10",77,531
"698","Interatrial communication closure: partial,","12.01.08",NA,NA,NA,NA,"ASD partial closure","Atrial Procedures","11",78,531
"699","Coronary sinus interatrial communication (ASD) repair,","12.00.55",NA,NA,NA,NA,"ASD repair","Atrial Procedures","12",79,531
"700","Atrial fenestration closure,","12.30.41",NA,NA,NA,NA,"Atrial fenestration closure","Atrial Procedures","13",80,531
"701","Interatrial communication creation-enlargement,","12.01.90",NA,NA,NA,NA,"ASD creation-enlargement","Atrial Procedures","14",81,531
"702","Atrial septectomy: closed (Blalock Hanlon),","12.01.42",NA,NA,NA,NA,"ASD creation-enlargement","Atrial Procedures","15",82,531
"703","Atrial septectomy,","12.01.43",NA,NA,NA,NA,"ASD creation-enlargement","Atrial Procedures","16",83,531
"704","Fenestration of atrial septum,","12.30.20",NA,NA,NA,NA,"Atrial septal fenestration","Atrial Procedures","17",84,531
"705","Atrial septation procedure,","12.01.22",NA,NA,NA,NA,"ASD, Common atrium (single atrium), Septation","Atrial Procedures","18",85,531
"706","Atrial baffle procedure,","12.01.57",NA,NA,NA,NA,"Atrial baffle procedure (non-Mustard, non-Senning)","Atrial Procedures","19",86,531
"707","Interatrial communication left open,","12.01.80",NA,NA,NA,NA,NA,"Atrial Procedures","20",87,531
"708","Atrioventricular valvar repair,","12.90.01",NA,NA,NA,NA,"Cardiac procedure, Other","Atrioventricuolar valvar & atrioventricular septal defect procedures","2",88,531
"709","Tricuspid valvar procedure,","12.02.00",NA,NA,NA,NA,"Valve surgery, Other, Tricuspid","Atrioventricuolar valvar & atrioventricular septal defect procedures","3",89,531
"710","Tricuspid valvar annuloplasty,","12.02.04",NA,NA,NA,NA,"Valve surgery, Other, Tricuspid","Atrioventricuolar valvar & atrioventricular septal defect procedures","4",90,531
"711","Tricuspid leaflet (valvoplasty) procedure,","12.02.02",NA,NA,NA,NA,"Valvuloplasty, Tricuspid","Atrioventricuolar valvar & atrioventricular septal defect procedures","5",91,531
"712","Tricuspid valvar replacement,","12.02.11",NA,NA,NA,NA,"Valve replacement, Tricuspid (TVR)","Atrioventricuolar valvar & atrioventricular septal defect procedures","6",92,531
"713","Tricuspid valve repair converted to tricuspid valvar replacement,","12.02.83",NA,NA,NA,NA,"Valvuloplasty converted to valve replacement in the same operation, Tricuspid","Atrioventricuolar valvar & atrioventricular septal defect procedures","7",93,531
"714","Tricuspid valvar closure,","12.02.70",NA,NA,NA,NA,"Valve closure, Tricuspid (exclusion, univentricular approach)","Atrioventricuolar valvar & atrioventricular septal defect procedures","8",94,531
"715","Tricuspid valvectomy,","12.02.22",NA,NA,NA,NA,"Valve excision, Tricuspid (without replacement)","Atrioventricuolar valvar & atrioventricular septal defect procedures","9",95,531
"716","Ebstein's malformation of tricuspid valve repair,","12.02.09",NA,NA,NA,NA,"Ebstein's repair","Atrioventricuolar valvar & atrioventricular septal defect procedures","10",96,531
"717","Mitral valvar procedure,","12.03.00",NA,NA,NA,NA,"Valve surgery, Other, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures","11",97,531
"718","Mitral valvar annuloplasty,","12.03.04",NA,NA,NA,NA,"Valve surgery, Other, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures","12",98,531
"719","Mitral leaflet (valvoplasty) procedure,","12.03.03",NA,NA,NA,NA,"Valvuloplasty, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures","13",99,531
"720","Mitral valvotomy,","12.03.01",NA,NA,NA,NA,"Valve surgery, Other, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures","14",100,531
"721","Mitral valvar replacement,","12.03.11",NA,NA,NA,NA,"Valve replacement, Mitral (MVR)","Atrioventricuolar valvar & atrioventricular septal defect procedures","15",101,531
"722","Mitral valve repair converted to mitral valvar replacement,","12.03.84",NA,NA,NA,NA,"Valvuloplasty converted to valve replacement in the same operation, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures","16",102,531
"723","Supra-mitral valvar LA-ring excision,","12.01.32",NA,NA,NA,NA,"Mitral stenosis, Supravalvar mitral ring repair","Atrioventricuolar valvar & atrioventricular septal defect procedures","17",103,531
"724","Mitral subvalvar apparatus procedure,","12.03.19",NA,NA,NA,NA,"Valve surgery, Other, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures","18",104,531
"725","Atrioventricular valvar procedure in double inlet ventricle,","12.46.00",NA,NA,NA,NA,"Cardiac procedure, Other","Atrioventricuolar valvar & atrioventricular septal defect procedures","19",105,531
"726","Atrioventricular septal defect procedure,","12.04.00",NA,NA,NA,NA,"AVC (AVSD) repair","Atrioventricuolar valvar & atrioventricular septal defect procedures","20",106,531
"727","Atrioventricular septal defect (AVSD): partial (primum ASD) repair,","12.04.01",NA,NA,NA,NA,"AVC (AVSD) repair, Partial (Incomplete) (PAVSD)","Atrioventricuolar valvar & atrioventricular septal defect procedures","21",107,531
"728","Atrioventricular septal defect (AVSD): complete (common valve orifice) repair,","12.05.01",NA,NA,NA,NA,"AVC (AVSD) repair, Complete (CAVSD)","Atrioventricuolar valvar & atrioventricular septal defect procedures","22",108,531
"729","Atrioventricular septal defect (AVSD): 'intermediate' repair,","12.05.10",NA,NA,NA,NA,"AVC (AVSD) repair, Intermediate (Transitional)","Atrioventricuolar valvar & atrioventricular septal defect procedures","23",109,531
"730","Atrioventricular septal defect (AVSD): partial with isolated ventricular component (VSD) repair,","12.04.09",NA,NA,NA,NA,"VSD repair","Atrioventricuolar valvar & atrioventricular septal defect procedures","24",110,531
"731","Common atrioventricular valvar leaflet (valvoplasty) procedure,","12.48.01",NA,NA,NA,NA,"Valvuloplasty, Common atrioventricular valve","Atrioventricuolar valvar & atrioventricular septal defect procedures","25",111,531
"732","Atrioventricular septal defect (AVSD): right atrioventricular valvar procedure,","12.04.20",NA,NA,NA,NA,"Valvuloplasty, Tricuspid","Atrioventricuolar valvar & atrioventricular septal defect procedures","26",112,531
"733","Atrioventricular septal defect (AVSD): left atrioventricular valvar procedure,","12.04.40",NA,NA,NA,NA,"Valvuloplasty, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures","27",113,531
"734","Atrioventricular septal defect (AVSD): left atrioventricular valvar replacement,","12.04.45",NA,NA,NA,NA,"Valve replacement, Mitral (MVR)","Atrioventricuolar valvar & atrioventricular septal defect procedures","28",114,531
"735","Common atrioventricular valve repair converted to atrioventricular valvar replacement,","12.04.33",NA,NA,NA,NA,"atrioventricular valve","Atrioventricuolar valvar & atrioventricular septal defect procedures","29",115,531
"736","Common atrioventricular valve replacement,","12.04.18",NA,NA,NA,NA,"Valve replacement, Common atrioventricular valve","Atrioventricuolar valvar & atrioventricular septal defect procedures","30",116,531
"737","Atrioventricular septal defect (AVSD): suturing together superior + inferior bridging leaflets to left ventricular side of septum ('cleft'),","12.48.02",NA,NA,NA,NA,"Valvuloplasty, Mitral","Atrioventricuolar valvar & atrioventricular septal defect procedures","31",117,531
"738","Atrioventricular septal defect (AVSD) & Tetralogy of Fallot repair,","12.05.11",NA,NA,NA,NA,"TOF- AVC (AVSD) repair","Atrioventricuolar valvar & atrioventricular septal defect procedures","32",118,531
"739","Right ventricular procedure,","12.06.26",NA,NA,NA,NA,"Cardiac procedure, Other","Ventricular and ventricular septum procedures","2",119,531
"740","Double chambered right ventricle repair,","12.06.35",NA,NA,NA,NA,"DCRV repair","Ventricular and ventricular septum procedures","3",120,531
"741","Right ventricular aneurysm repair,","12.06.38",NA,NA,NA,NA,"Aneurysm, Ventricular, Right, Repair","Ventricular and ventricular septum procedures","4",121,531
"742","Right ventricular outflow tract procedure,","12.06.00",NA,NA,NA,NA,"RVOT procedure","Ventricular and ventricular septum procedures","5",122,531
"743","Right ventricular outflow tract obstruction relief,","12.06.41",NA,NA,NA,NA,"RVOT procedure","Ventricular and ventricular septum procedures","6",123,531
"744","Subpulmonary obstruction relief,","12.08.21",NA,NA,NA,NA,"RVOT procedure","Ventricular and ventricular septum procedures","7",124,531
"745","1.5 ventricle repair: superior cavopulmonary (Glenn) anastomosis + right ventricular outflow tract reconstruction,","12.06.19",NA,NA,NA,NA,"1 1/2 ventricular repair","Ventricular and ventricular septum procedures","8",125,531
"746","Left ventricular procedure,","12.07.26",NA,NA,NA,NA,"Cardiac procedure, Other","Ventricular and ventricular septum procedures","9",126,531
"747","Left ventricular aneurysm repair,","12.07.37",NA,NA,NA,NA,"Aneurysm, Ventricular, Left, Repair","Ventricular and ventricular septum procedures","10",127,531
"748","Partial left ventriculectomy-volume reduction (Batista),","12.07.38",NA,NA,NA,NA,"Partial left ventriculectomy (LV volume reduction) (Batista)","Ventricular and ventricular septum procedures","11",128,531
"749","Left ventricular outflow tract procedure,","12.07.00",NA,NA,NA,NA,"Cardiac procedure, Other","Ventricular and ventricular septum procedures","12",129,531
"750","Left ventricular outflow tract obstruction relief,","12.07.13",NA,NA,NA,NA,"Aortic stenosis, Subvalvar, Repair","Ventricular and ventricular septum procedures","13",130,531
"751","Left ventricular outflow tract myectomy-myotomy,","12.07.11",NA,NA,NA,NA,"Aortic stenosis, Subvalvar, Repair","Ventricular and ventricular septum procedures","14",131,531
"752","Subaortic obstruction relief,","12.08.22",NA,NA,NA,NA,"Aortic stenosis, Subvalvar, Repair","Ventricular and ventricular septum procedures","15",132,531
"753","Subaortic fibromuscular shelf resection,","12.07.01",NA,NA,NA,NA,"Aortic stenosis, Subvalvar, Repair","Ventricular and ventricular septum procedures","16",133,531
"754","Left ventricular outflow tract obstruction relief: complex (Konno etc),","12.07.12",NA,NA,NA,NA,"Konno procedure","Ventricular and ventricular septum procedures","17",134,531
"755","Ventricular septal defect (VSD) closure,","12.08.01",NA,NA,NA,NA,"VSD repair","Ventricular and ventricular septum procedures","18",135,531
"756","Ventricular septal defect (VSD) closure by direct suture,","12.08.02",NA,NA,NA,NA,"VSD repair, Primary closure","Ventricular and ventricular septum procedures","19",136,531
"757","Ventricular septal defect (VSD) closure using patch,","12.08.03",NA,NA,NA,NA,"VSD repair, Patch","Ventricular and ventricular septum procedures","20",137,531
"758","Closure of multiple ventricular septal defect (VSD)s,","12.08.16",NA,NA,NA,NA,"VSD multiple repair","Ventricular and ventricular septum procedures","21",138,531
"759","Ventricular septal defect (VSD) enlargement/ creation,","12.08.35",NA,NA,NA,NA,"VSD creation / enlargement","Ventricular and ventricular septum procedures","22",139,531
"760","Ventricular septal defect (VSD) enlargement,","12.08.06",NA,NA,NA,NA,"VSD creation / enlargement","Ventricular and ventricular septum procedures","23",140,531
"761","Open fenestration of ventricular septal defect (VSD) patch,","12.08.19",NA,NA,NA,NA,"Ventricular septal fenestration","Ventricular and ventricular septum procedures","24",141,531
"762","Common arterial trunk (truncus) repair,","12.11.00",NA,NA,NA,NA,"Truncus Arteriosus repair","Ventriculo-arterial valvar and great arterial procedures","2",142,531
"763","Truncal valve cusp(s) repair (valvoplasty),","12.11.34",NA,NA,NA,NA,"Valvuloplasty, truncal valve","Ventriculo-arterial valvar and great arterial procedures","3",143,531
"764","Truncal valve replacement,","12.11.41",NA,NA,NA,NA,"Valve replacement, Truncal valve","Ventriculo-arterial valvar and great arterial procedures","4",144,531
"765","Truncal valve repair converted to truncal valvar replacement,","12.11.43",NA,NA,NA,NA,"Valvuloplasty converted to valve replacement in the same operation, Truncal valve","Ventriculo-arterial valvar and great arterial procedures","5",145,531
"766","Pulmonary valvar procedure,","12.13.00",NA,NA,NA,NA,"Valve surgery, Other, Pulmonic","Ventriculo-arterial valvar and great arterial procedures","6",146,531
"767","Pulmonary valvotomy: open,","12.13.02",NA,NA,NA,NA,"Valvuloplasty, Pulmonic","Ventriculo-arterial valvar and great arterial procedures","7",147,531
"768","Pulmonary valvectomy,","12.13.12",NA,NA,NA,NA,"Valve excision, Pulmonary (without replacement)","Ventriculo-arterial valvar and great arterial procedures","8",148,531
"769","Pulmonary valve closure-oversewing,","12.13.15",NA,NA,NA,NA,"Valve closure, Semilunar","Ventriculo-arterial valvar and great arterial procedures","9",149,531
"770","Pulmonary valvar replacement (not conduit),","12.13.21",NA,NA,NA,NA,"Valve replacement, Pulmonic (PVR)","Ventriculo-arterial valvar and great arterial procedures","10",150,531
"771","Pulmonary valvar replacement using homograft,","12.13.22",NA,NA,NA,NA,"Valve replacement, Pulmonic (PVR)","Ventriculo-arterial valvar and great arterial procedures","11",151,531
"772","Pulmonary valve repair converted to pulmonary valvar replacement,","12.13.55",NA,NA,NA,NA,"Valvuloplasty converted to valve replacement in the same operation, Pulmonic","Ventriculo-arterial valvar and great arterial procedures","12",152,531
"773","Pulmonary trunk band (PA band),","12.14.02",NA,NA,NA,NA,"PA banding (PAB)","Ventriculo-arterial valvar and great arterial procedures","13",153,531
"774","Pulmonary trunk band removal (de-band),","12.14.03",NA,NA,NA,NA,"PA debanding","Ventriculo-arterial valvar and great arterial procedures","14",154,531
"775","Application of right & left pulmonary arterial bands,","12.14.19",NA,NA,NA,NA,"PA banding (PAB)","Ventriculo-arterial valvar and great arterial procedures","15",155,531
"776","Pulmonary artery ligation,","12.14.31",NA,NA,NA,NA,"Ligation, Pulmonary artery","Ventriculo-arterial valvar and great arterial procedures","16",156,531
"777","Pulmonary trunk arterioplasty,","12.14.01",NA,NA,NA,NA,"PA reconstruction (plasty), Main (trunk)","Ventriculo-arterial valvar and great arterial procedures","17",157,531
"778","Pulmonary arterioplasty/ reconstruction,","12.14.20",NA,NA,NA,NA,"PA reconstruction (Plasty)","Ventriculo-arterial valvar and great arterial procedures","18",158,531
"779","Pulmonary arterioplasty/ reconstruction: central (proximal to hilar bifurcation),","12.14.21",NA,NA,NA,NA,"PA reconstruction (plasty), Branch, Central (within the hilar bifurcation)","Ventriculo-arterial valvar and great arterial procedures","19",159,531
"780","Pulmonary arterioplasty/ reconstruction: peripheral (at-beyond hilar bifurcation),","12.14.22",NA,NA,NA,NA,"PA reconstruction (plasty), Branch, Peripheral (at or beyond the hilar bifurcation)","Ventriculo-arterial valvar and great arterial procedures","20",160,531
"781","Pulmonary aneurysm repair,","12.15.24",NA,NA,NA,NA,"Aneurysm, Pulmonary artery, Repair","Ventriculo-arterial valvar and great arterial procedures","21",161,531
"782","Pulmonary arteriovenous fistula closure,","12.25.07",NA,NA,NA,NA,"Pulmonary AV fistula repair / occlusion","Ventriculo-arterial valvar and great arterial procedures","22",162,531
"783","Pulmonary thromboembolectomy,","12.15.48",NA,NA,NA,NA,"Pulmonary embolectomy","Ventriculo-arterial valvar and great arterial procedures","23",163,531
"784","Pulmonary thromboembolectomy for acute embolus,","12.15.80",NA,NA,NA,NA,"Pulmonary embolectomy, Acute pulmonary embolus","Ventriculo-arterial valvar and great arterial procedures","24",164,531
"785","Pulmonary thromboembolectomy for chronic (longstanding) embolus,","12.15.81",NA,NA,NA,NA,"Pulmonary embolectomy, Chronic pulmonary embolus","Ventriculo-arterial valvar and great arterial procedures","25",165,531
"786","Procedure involving pulmonary artery,","12.15.11",NA,NA,NA,NA,"Cardiac procedure, Other","Ventriculo-arterial valvar and great arterial procedures","26",166,531
"787","Aortic valvar procedure,","12.16.00",NA,NA,NA,NA,"Valve surgery, Other, Aortic","Ventriculo-arterial valvar and great arterial procedures","27",167,531
"788","Aortic valvotomy: closed,","12.16.04",NA,NA,NA,NA,"Valvuloplasty, Aortic","Ventriculo-arterial valvar and great arterial procedures","28",168,531
"789","Aortic valvotomy: open,","12.16.02",NA,NA,NA,NA,"Valvuloplasty, Aortic","Ventriculo-arterial valvar and great arterial procedures","29",169,531
"790","Aortic cusp(s) repair (valvoplasty),","12.16.11",NA,NA,NA,NA,"Valvuloplasty, Aortic","Ventriculo-arterial valvar and great arterial procedures","30",170,531
"791","Aortic valve closure-oversewing,","12.16.61",NA,NA,NA,NA,"Valve closure, Semilunar","Ventriculo-arterial valvar and great arterial procedures","31",171,531
"792","'Annuloplasty' of aortic valve,","12.16.14",NA,NA,NA,NA,"Other annular enlargement procedure","Ventriculo-arterial valvar and great arterial procedures","32",172,531
"793","Aortic valvar replacement,","12.16.21",NA,NA,NA,NA,"Valve replacement, Aortic (AVR)","Ventriculo-arterial valvar and great arterial procedures","33",173,531
