block,ascii_desc,ascii_short_desc,effective_from,inactive
184,Other procedures on sclera,Other procedures on sclera,1/7/1998,
1840,Electrocochleography,Electrocochleography,1/7/1998,
1841,Impedance audiometry,Impedance audiometry,1/7/1998,
1842,Psychoacoustic tests,Psychoacoustic tests,1/7/1998,
1843,Other audiometry,Other audiometry,1/7/1998,
1844,Otoacoustic emissions evaluation,Otoacoustic emissions evaluation,1/7/1998,
1845,Vestibular function tests,Vestibular function tests,1/7/1998,
1846,"Other ear, nose, mouth and throat diagnostic tests, measures or investigations","Other ENMT dx tests/measures/investgtn",1/7/1998,
1847,Measurement of respiratory muscle strength,Measurement respiratory muscle strength,1/7/1998,
1848,Exercise testing to assess respiratory status,"Exercise test, assess respiratory status",1/7/1998,
1849,Other measurement of respiratory function,Other measurement of resp function,1/7/1998,
185,"Application, insertion or removal procedures on iris, ciliary body or anterior chamber","Applicn/ins/removal proc ant segment eye",1/7/1998,
1850,Vascular pressure monitoring,Vascular pressure monitoring,1/7/1998,
1851,Examination and recording of wave forms of intracranial arterial circulation,Exam & rcrd wve frm of intrcran art circ,1/7/1998,
1852,Examination and recording of wave forms of peripheral vessels,Exam & rcrd wave forms peripheral vesl,1/7/1998,
1853,Ambulatory continuous electrocardiography [ECG],Ambulatory continuous ECG,1/7/1998,
1854,Patient activated ambulatory electrocardiography [ECG],Patient activated ambulatory ECG,1/7/1998,
1855,Other electrocardiography [ECG],Other electrocardiography [ECG],1/7/1998,
1856,Testing of cardiac pacemaker or defibrillator,Test cardiac pacemaker or defibrillator,1/7/1998,
1857,"Other cardiovascular diagnostic tests, measures or investigations","Cardiovascular tests/measures/investgtn",1/7/1998,
1858,"Diagnostic tests, measures or investigations, blood and blood-forming organs","Dx tests/measures/investgtn blood",1/7/1998,
1859,"Digestive system diagnostic tests, measures or investigations","Digest sys dx tests/measures/investgtn",1/7/1998,
186,Division of synechiae,Division of synechiae,1/7/1998,
1860,Cystometrography,Cystometrography,1/7/1998,
1861,Urethral pressure profilometry,Urethral pressure profilometry,1/7/1998,
1862,"Other genitourinary diagnostic tests, measures or investigations","Oth genitourinary test/measure/investgtn",1/7/1998,
1863,Nuclear medicine (nonimaging),Nuclear medicine (nonimaging),1/7/1998,
1864,Skin sensitivity allergy testing,Skin sensitivity allergy testing,1/7/1998,
1865,Epicutaneous patch allergy testing,Epicutaneous patch allergy testing,1/7/1998,
1866,"Other diagnostic tests, measures or investigations","Oth diagnostic tests/measures/investgtn",1/7/1998,
1867,"Counselling or education relating to personal care and other activities of daily/independent living","Counselling/eductn personal care/oth act",1/7/1998,
1868,Psychosocial counselling,Psychosocial counselling,1/7/1998,
1869,Other counselling or education,Other counselling or education,1/7/1998,
187,"Other incision procedures on iris, ciliary body or anterior chamber","Other incision proc on ant segment, eye",1/7/1998,
1870,"Interventions involving assistive or adaptive device, aid or equipment","Interventions inv asst/adapt dev/equip",1/7/1998,
1871,Nutritional support interventions,Nutritional support interventions,1/7/1998,
1872,Alcohol and drug rehabilitation and detoxification,Alcohol & drug rehab & detoxification,1/7/1998,
1873,"Psychological/psychosocial therapies","Psychological/psychosocial therapies",1/7/1998,
1874,"Skills training for voice, speech, fluency and communication","Skills traing for vce/sp/flncy/commtn",1/7/1998,
1875,"Skills training in relation to learning, knowledge and cognition","Skills train, learn, knowledge & cogn",1/7/1998,
1876,Skills training in movement,Skills training in movement,1/7/1998,
1877,Skills training in body system functions,Skills training in body system functions,1/7/1998,
1878,"Skills training for personal care and other activities of daily/independent living",Skills train for personal care & oth ADL,1/7/1998,
1879,Other skills training,Other skills training,1/7/1998,
188,"Destruction procedures on iris, ciliary body or anterior chamber","Destruction proc on ant segment, eye",1/7/1998,
1880,"Therapies using agents or devices, not elsewhere classified","Therapies using agents / devices NEC",1/7/1998,
1881,Prophylactic vaccination or inoculation against certain bacterial diseases,"Prophylactic vaccinatn/inoculation bact",1/7/1998,
1882,Prophylactic vaccination or inoculation against certain viral diseases,"Prophylactic vaccinatn/inoculation viral",1/7/1998,
1883,Other vaccination or inoculation,Other vaccination or inoculation,1/7/1998,
1884,Immunisation,Immunisation,1/7/1998,
1885,Injection or infusion of therapeutic or prophylactic substance,"Injection/infus thrpc/prophylactic subs",1/7/1998,1/7/2004
1886,Perfusion,Perfusion,1/7/1998,
1887,"Therapeutic interventions on eye, ear, nose, mouth and throat","Therapeutic interventions on eye, ENMT",1/7/1998,
1888,Hyperbaric oxygen therapy,Hyperbaric oxygen therapy,1/7/1998,
1889,Other therapeutic interventions on respiratory system,"Oth therapeutic interventions, resp sys",1/7/1998,
189,"Excision procedures on iris, ciliary body or anterior chamber","Exc proc on iris/ciliary body/ant cham",1/7/1998,
1890,Therapeutic interventions on cardiovascular system,Therapeutic interventions cardiovascular,1/7/1998,
1891,"Therapeutic collection and processing of blood/bone marrow","Therapeutic colln & proces bl/bne marrow",1/7/1998,
1892,Apheresis,Apheresis,1/7/1998,
1893,Administration of blood and blood products,Administration of blood & blood products,1/7/1998,
1894,Nonincisional insertion and dilation interventions on digestive system,Nonincisional ins & intervtn digest sys,1/7/1998,
1895,"Nonincisional irrigation, cleaning and local instillation, digestive system","Noninc irrigtn/clean/instill digest",1/7/1998,
1896,"Nonincisional replacement or removal of therapeutic device, digestive system","Noninc replace R/O thrpc dev digest sys",1/7/1998,
1897,Nonincisional removal of foreign body or calculus from gastrointestinal tract,"Nonincisional removal FB/calculus GIT",1/7/1998,
1898,Fluid and gas reduction of intussusception,Fluid & gas reduction of intussusception,1/7/1998,
1899,Other therapeutic interventions on digestive system,Oth therapeutic interventions digest sys,1/7/1998,
19,Ventriculostomy,Ventriculostomy,1/7/1998,
190,"Repair procedures on iris, ciliary body or anterior chamber","Repair proc iris/ciliary body/ant cham",1/7/1998,
1900,"Nonincisional insertion, replacement and removal of therapeutic device, genital tract","Noninc ins/replace/ R/O thrpc dev GT",1/7/2000,
1901,"Nonincisional irrigation, cleaning and local instillation, genitourinary system",Noninc irrigtn clean & instill GU,1/7/2000,
1902,Nonincisional removal of therapeutic device from urinary tract,"Noninc R/O thrpc dev from urinary tract",1/7/2000,
1903,Nonincisional removal of foreign body from genitourinary system,"Nonincisional R/O FB, genitourinary sys",1/7/2000,
1904,Other therapeutic interventions on genitourinary system,Oth thrpc intervention genitourinary sys,1/7/2000,
1905,Therapeutic interventions on musculoskeletal system,"Therapeutic interventions, M/S sys",1/7/2000,
1906,Implantation of hormone or living tissue,Implantation of hormone or living tissue,1/7/2000,
1907,Electroconvulsive therapy,Electroconvulsive therapy,1/7/2000,
1908,Other therapeutic interventions,Other therapeutic interventions,1/7/2000,
1909,Conduction anaesthesia,Conduction anaesthesia,1/7/2000,
191,Procedures for glaucoma,Procedures for glaucoma,1/7/1998,
1910,Cerebral anaesthesia,Cerebral anaesthesia,1/7/2000,
1911,Sedation,Sedation,1/7/2000,1/7/2002
1912,Postprocedural analgesia,Postprocedural analgesia,1/7/2000,
1913,Other anaesthetic administration procedures,Other anaesthetic administration proc,1/7/2000,1/7/2002
1914,Assistance interventions,Assistance interventions,1/7/2000,
1915,Other client support interventions,Other client support interventions,1/7/2000,
1916,Generalised allied health interventions,Generalised allied health interventions,1/7/2000,
192,"Other procedures on iris, ciliary body or anterior chamber","Other proc on iris/ciliary body/ant cham",1/7/1998,
1920,Administration of pharmacotherapy,Administration of pharmacotherapy,1/7/2004,
1921,Loading of drug delivery device,Loading of drug delivery device,1/7/2004,1/7/2008
1922,Other procedures related to pharmacotherapy,Other proc related to pharmacotherapy,1/7/2004,
1923,Technology-assisted interventions,Technology assisted interventions,1/7/2017,
1924,Cell therapies,Cell therapies,1/7/2022,
1925,Gene therapies,Gene therapies,1/7/2022,
193,Insertion of intraocular lens prosthesis,Insertion intraocular lens prosthesis,1/7/1998,
194,Replacement or removal of intraocular lens,"Replacement/removal of intraocular lens",1/7/1998,
1940,Ultrasound of head or neck,Ultrasound of head or neck,1/7/1998,
1941,Ultrasound of breast,Ultrasound of breast,1/7/1998,
1942,Ultrasound of heart,Ultrasound of heart,1/7/1998,
1943,Ultrasound of abdomen or pelvis,Ultrasound of abdomen or pelvis,1/7/1998,
1944,"Duplex ultrasound of cranial, carotid or vertebral vessels","Duplex u/s cranial/carotid/vert vesl",1/7/1998,
1945,Duplex ultrasound of intrathoracic or intra-abdominal vessels,"Duplex u/s intrathoracic/intrabdo vesl",1/7/1998,
1946,Duplex ultrasound of limb,Duplex ultrasound of limb,1/7/1998,
1947,Duplex ultrasound of artery or cavernosal tissue of penis,"Duplex u/s artery/cavernosal tis penis",1/7/1998,
1948,Duplex ultrasound of other vessels,Duplex ultrasound of other vessels,1/7/1998,
1949,Other ultrasound,Other ultrasound,1/7/1998,
195,Intracapsular crystalline lens extraction,Intracapsular crystaline lens extraction,1/7/1998,1/7/2017
1950,Ultrasound of other sites,Ultrasound of other sites,1/7/1998,
1951,Tomography,Tomography,1/7/1998,
1952,Computerised tomography of brain,Computerised tomography of brain,1/7/1998,
1953,Computerised tomography of pituitary fossa (and brain),CT of pituitary fossa (& brain),1/7/1998,
1954,Computerised tomography of orbit (and brain),Comput tomography of orbit (& brain),1/7/1998,
1955,Computerised tomography of middle ear and temporal bone (and brain),CT middle ear & temporal bone (& brain),1/7/1998,
1956,"Computerised tomography of facial bone/joints and/or paranasal sinus (and brain)","CT fac bone/jt &/paranasal sin & brain",1/7/1998,
1957,"Computerised tomography of brain, chest and abdomen","CT of brain, chest & abdomen",1/7/1998,
1958,Computerised tomography of neck,Computerised tomography of neck,1/7/1998,
1959,Computerised tomography of spine,Computerised tomography of spine,1/7/1998,
196,Extracapsular crystalline lens extraction by aspiration alone,Extracapsular lens extr by aspiration,1/7/1998,1/7/2017
1960,Computerised tomography of chest,Computerised tomography of chest,1/7/1998,
1961,"Computerised tomography of chest, abdomen and pelvis","CT of chest, abdomen & pelvis",1/7/1998,
1962,Computerised tomography of abdomen,Computerised tomography of abdomen,1/7/1998,
1963,Computerised tomography of abdomen and pelvis,CT of abdomen & pelvis,1/7/1998,
1964,Computerised tomography of pelvis,Computerised tomography of pelvis,1/7/1998,
1965,Computerised tomography of limb,Computerised tomography of limb,1/7/1998,
1966,Spiral angiography by computerised tomography,Spiral angiography CT,1/7/1998,
1967,Radiography of head or neck,Radiography of head or neck,1/7/1998,
1968,Radiography of spine,Radiography of spine,1/7/1998,
1969,"Radiography of spine, 2 or more regions",Radiography of spine 2 or more regions,1/7/1998,
197,Extracapsular crystalline lens extraction by phacoemulsification,Phacoemulsification crystaline lens extr,1/7/1998,1/7/2017
1970,Radiography of shoulder region,Radiography of shoulder region,1/7/1998,
1971,Radiography of upper limb,Radiography of upper limb,1/7/1998,
1972,Radiography of sternum or ribs,Radiography of sternum or ribs,1/7/1998,
1973,Radiography of breast,Radiography of breast,1/7/1998,
1974,Other radiography of chest,Other radiography of chest,1/7/1998,
1975,Radiography of gastrointestinal tract,Radiography of gastrointestinal tract,1/7/1998,
1976,Radiography of biliary tract,Radiography of biliary tract,1/7/1998,
1977,Radiography of abdomen,Radiography of abdomen,1/7/1998,
1978,Intravenous pyelography [IVP],Intravenous pyelography [IVP],1/7/1998,
1979,Retrograde radiography of urinary system,Retrograde radiography of urinary system,1/7/1998,
198,Extracapsular crystalline lens extraction by mechanical phacofragmentation,Mechanical phacofragmentation,1/7/1998,1/7/2017
1980,Other radiography of urinary system,Other radiography of urinary system,1/7/1998,
1981,Radiography of pelvis,Radiography of pelvis,1/7/1998,
1982,Radiography of genital region,Radiography of genital region,1/7/1998,
1983,Radiography of lower limb,Radiography of lower limb,1/7/1998,
1984,Bone studies,Bone studies,1/7/1998,
1985,Arthrography,Arthrography,1/7/1998,
1986,Radiography of whole skeleton,Radiography of whole skeleton,1/7/1998,
1987,Localisation of foreign body,Localisation of foreign body,1/7/1998,1/7/2010
1988,Other radiography,Other radiography,1/7/1998,
1989,Arteriography,Arteriography,1/7/1998,
199,Other extracapsular crystalline lens extraction,Other extracapsular lens extraction,1/7/1998,1/7/2017
1990,Other angiography,Other angiography,1/7/1998,
1991,Magnetic resonance angiography,Magnetic resonance angiography,1/7/1998,
1992,Digital subtraction angiography of head and neck,DSA of head and neck,1/7/1998,
1993,Digital subtraction angiography of thorax,DSA of thorax,1/7/1998,
1994,Digital subtraction angiography of abdomen,DSA of abdomen,1/7/1998,
1995,Digital subtraction angiography of upper limb,DSA of upper limb,1/7/1998,
1996,Digital subtraction angiography of lower limb,DSA of lower limb,1/7/1998,
1997,Digital subtraction angiography of aorta and lower limb,DSA of aorta & lower limb,1/7/1998,
1998,Other digital subtraction angiography,Other digital subtraction angiography,1/7/1998,
1999,Fluoroscopy,Fluoroscopy,1/7/1998,
2,Cranial tap or puncture,Cranial tap or puncture,1/7/1998,
20,Repair of dura of brain,Repair of dura of brain,1/7/1998,
200,Extraction of crystalline lens,Extraction of crystalline lens,1/7/1998,
2000,Nuclear medicine imaging brain study,Nuclear medicine imaging brain study,1/7/1998,
2001,Nuclear medicine imaging tear duct or salivary study,"Nuclear med image tear dct/salivary stud",1/7/1998,
2002,Gated cardiac blood pool study,Gated cardiac blood pool study,1/7/1998,
2003,Myocardial perfusion study,Myocardial perfusion study,1/7/1998,
2004,Myocardial perfusion study with single photon emission computerised tomography [SPECT],Myocardial perfusion study w SPECT,1/7/1998,
2005,Other circulatory system nuclear medicine imaging study,Oth circulatory nuclear med image study,1/7/1998,
2006,Lung perfusion or ventilation study,Lung perfusion or ventilation study,1/7/1998,
2007,Nuclear medicine imaging study of gastrointestinal tract,Nuclear medicine imaging study of GIT,1/7/1998,
2008,Renal nuclear medicine imaging study,Renal nuclear medicine imaging study,1/7/1998,
2009,Localised bone nuclear medicine imaging study,Localised bone nuclear med imaging study,1/7/1998,
201,Removal of after cataract,Removal of after cataract,1/7/1998,1/7/2017
2010,Localised joint nuclear imaging study,Localised joint nuclear med imaging stud,1/7/1998,
2011,Whole body bone nuclear medicine imaging study,Whole body bone nuclear med image study,1/7/1998,
2012,Whole body nuclear medicine imaging study,Whole body nuclear med imaging study,1/7/1998,
2013,Localised nuclear medicine imaging study,Localised nuclear medicine imaging study,1/7/1998,
2014,Other nuclear medicine imaging study,Other nuclear medicine imaging study,1/7/1998,
2015,Magnetic resonance imaging,Magnetic resonance imaging,1/7/1998,
2016,Other imaging services,Other imaging services,1/7/1998,
202,"Other application, insertion or removal procedures on lens","Other applicn/ins/removal proc on lens",1/7/1998,1/7/2017
203,Other procedures on lens,Other procedures on lens,1/7/1998,
204,Aspiration of aqueous or vitreous,Aspiration of aqueous or vitreous,1/7/1998,
205,"Other application, insertion or removal procedures on aqueous or vitreous","Oth applicn, ins R/O proc, aqueous/vitr",1/7/1998,
2050,Nutritional assessment,Nutritional assessment,1/7/1998,1/7/2000
2051,Therapeutic nutritional interventions,Therapeutic nutritional interventions,1/7/1998,1/7/2000
2052,Nutritional counselling,Nutritional counselling,1/7/1998,1/7/2000
2053,Other nutritional interventions,Other nutritional interventions,1/7/1998,1/7/2000
2054,Social work assessment,Social work assessment,1/7/1998,1/7/2000
2055,Social work counselling,Social work counselling,1/7/1998,1/7/2000
2056,Social work education,Social work education,1/7/1998,1/7/2000
2057,Social work management of continuity of care,Social work mgmt of continuity of care,1/7/1998,1/7/2000
2058,Other social work interventions,Other social work interventions,1/7/1998,1/7/2000
2059,Occupational therapy assessment,Occupational therapy assessment,1/7/1998,1/7/2000
206,Destruction procedures on aqueous or vitreous,"Destruction proc on aqueous/vitreous",1/7/1998,
2060,Sensory motor occupational therapy intervention,Sensory motor OT intervention,1/7/1998,1/7/2000
2061,Psychosocial occupational therapy intervention,Psychosocial OT intervention,1/7/1998,1/7/2000
2062,Other therapeutic occupational therapy interventions,Other therapeutic OT interventions,1/7/1998,1/7/2000
2063,Other occupational therapy interventions,Other occupational therapy interventions,1/7/1998,1/7/2000
2064,Physiotherapy diagnostic evaluation,Physiotherapy diagnostic evaluation,1/7/1998,1/7/2000
2065,General therapeutic interventions,General therapeutic interventions,1/7/1998,1/7/2000
2066,Physiotherapy exercise,Physiotherapy exercise,1/7/1998,1/7/2000
2067,"Ambulation and gait training, physiotherapy","Ambulation & gait training, PT",1/7/1998,1/7/2000
2068,Physiotherapy hydrotherapy intervention,Physiotherapy hydrotherapy intervention,1/7/1998,1/7/2000
2069,Physiotherapy intervention using electrophysical agents,PT intervention usg electrophysical agt,1/7/1998,1/7/2000
207,Vitrectomy,Vitrectomy,1/7/1998,
2070,"Physiotherapy intervention involving plaster, splinting, taping, prosthetic or pressure garment","Plaster/splint/taping/prosth/press garmt",1/7/1998,1/7/2000
2071,Physiotherapy cardiorespiratory intervention,PT cardiorespiratory intervention,1/7/1998,1/7/2000
2072,"Physiotherapy neurological/neurodevelopmental intervention","PT neurological/neurodevelopmtl intervtn",1/7/1998,1/7/2000
2073,Physiotherapy education,Physiotherapy education,1/7/1998,1/7/2000
2074,Other physiotherapy intervention,Other physiotherapy intervention,1/7/1998,1/7/2000
2075,Psychological assessment,Psychological assessment,1/7/1998,1/7/2000
2076,Therapeutic psychology interventions,Therapeutic psychology interventions,1/7/1998,1/7/2000
2077,Psychological counselling,Psychological counselling,1/7/1998,1/7/2000
2078,Psychological case management,Psychological case management,1/7/1998,1/7/2000
2079,Other psychology interventions,Other psychology interventions,1/7/1998,1/7/2000
208,Other procedures on vitreous,Other procedures on vitreous,1/7/1998,
2080,Podiatry diagnostic evaluation,Podiatry diagnostic evaluation,1/7/1998,1/7/2000
2081,Podiatry nail therapy,Podiatry nail therapy,1/7/1998,1/7/2000
2082,Podiatry skin therapy,Podiatry skin therapy,1/7/1998,1/7/2000
2083,Podiatry surgical therapy,Podiatry surgical therapy,1/7/1998,1/7/2000
2084,Podiatry wound management,Podiatry wound management,1/7/1998,1/7/2000
2085,Podiatry mechanical therapy,Podiatry mechanical therapy,1/7/1998,1/7/2000
2086,Podiatry orthotic therapy,Podiatry orthotic therapy,1/7/1998,1/7/2000
2087,Podiatry footwear therapy,Podiatry footwear therapy,1/7/1998,1/7/2000
2088,Podiatry physical therapy,Podiatry physical therapy,1/7/1998,1/7/2000
2089,Podiatry intervention using electrophysical agents,Pod intervention usg electrophysical agt,1/7/1998,1/7/2000
209,"Application, insertion or removal procedures on retina, choroid or posterior chamber","Applicn, ins, removal proc, post segment",1/7/1998,
2090,Podiatry education,Podiatry education,1/7/1998,1/7/2000
2091,Podiatry case management,Podiatry case management,1/7/1998,1/7/2000
2092,Other podiatry interventions,Other podiatry interventions,1/7/1998,1/7/2000
2093,Speech pathology evaluation,Speech pathology evaluation,1/7/1998,1/7/2000
2094,Therapeutic speech pathology interventions,Thrpc speech pathology interventions,1/7/1998,1/7/2000
2095,Speech pathology counselling and education,Speech pathology counselling & education,1/7/1998,1/7/2000
2096,Speech pathology case management and clinical programming,"Sp, case mgmt & clinical programming",1/7/1998,1/7/2000
2097,Other speech pathology interventions,Other speech pathology interventions,1/7/1998,1/7/2000
2098,Pure tone audiometry,Pure tone audiometry,1/7/1998,1/7/2000
2099,Speech audiometry,Speech audiometry,1/7/1998,1/7/2000
21,Extracranial to intracranial bypass,Extracranial to intracranial bypass,1/7/1998,
210,"Incision procedures on retina, choroid or posterior chamber","Inc proc on retina, choroid or post cham",1/7/1998,
2100,Audiology electrophysiological assessment,Audiology electrophysiological assess,1/7/1998,1/7/2000
2101,Otoacoustic emissions evaluation,Otoacoustic emissions evaluation,1/7/1998,1/7/2000
2102,Impedance audiometry,Impedance audiometry,1/7/1998,1/7/2000
2103,Central auditory function test,Central auditory function test,1/7/1998,1/7/2000
2104,Other audiology assessment,Other audiology assessment,1/7/1998,1/7/2000
2105,"Management of tinnitus, audiology","Management of tinnitus, audiology",1/7/1998,1/7/2000
2106,Audiology intervention involving ear plug,Audiology intervention inv ear plug,1/7/1998,1/7/2000
2107,Industrial audiology intervention,Industrial audiology intervention,1/7/1998,1/7/2000
2108,Audiology intervention involving hearing device - hearing aid,Audiology intervention inv hearing aid,1/7/1998,1/7/2000
2109,Audiology intervention involving hearing device - assistive listening device,"Assistive listening device, audiology",1/7/1998,1/7/2000
211,"Destruction procedures on retina, choroid or posterior chamber","Destruction proc retna/choroid/post cham",1/7/1998,
2110,Audiology intervention involving hearing device - cochlear implant,Audiology intervtn inv cochlear implant,1/7/1998,1/7/2000
2111,Audiology intervention involving electrotactile auditory aid,Intervtn inv electrotactile auditory aid,1/7/1998,1/7/2000
2112,Audiology intervention involving vibrotactile auditory aid,Intervtn inv vibrotactile auditory aid,1/7/1998,1/7/2000
2113,Other therapeutic audiology intervention,Other therapeutic audiology intervention,1/7/1998,1/7/2000
2114,"Counselling, audiology","Counselling, audiology",1/7/1998,1/7/2000
2115,"Education, audiology","Education, audiology",1/7/1998,1/7/2000
2116,Other audiology interventions,Other audiology interventions,1/7/1998,1/7/2000
2117,Orthoptic interview,Orthoptic interview,1/7/1998,1/7/2000
2118,Orthoptic subjective assessment of visual function,Orthoptic subjective assess of visual fn,1/7/1998,1/7/2000
2119,Orthoptic perimetry (visual field) assessment,Orthoptic perimetry assessment,1/7/1998,1/7/2000
212,Repair of retinal detachment,Repair of retinal detachment,1/7/1998,
2120,Orthoptic assessment of refraction and accommodation,Orthoptic assess refraction & accommodtn,1/7/1998,1/7/2000
2121,Orthoptic ocular motility and binocular function assessment,Ocular motility & binocular fn assess,1/7/1998,1/7/2000
2122,Anatomic and physiological evaluation of eye and related structures,Anatomic & physiological evaln eye & str,1/7/1998,1/7/2000
2123,"Objective functional evaluation of eye, visual system and eye movements","Functional evaln eye, visual sys & move",1/7/1998,1/7/2000
2124,Other orthoptic assessment,Other orthoptic assessment,1/7/1998,1/7/2000
2125,Orthoptic optical intervention,Orthoptic optical intervention,1/7/1998,1/7/2000
2126,Orthoptic exercise and occlusion intervention,Orthoptic exercise & occlusion intervtn,1/7/1998,1/7/2000
2127,Orthoptic rehabilitation and training intervention,Orthoptic rehab & training intervention,1/7/1998,1/7/2000
2128,Orthoptic intervention in ophthalmic procedures,Orthoptic intervtn in ophthalmic proc,1/7/1998,1/7/2000
2129,Orthoptic counselling and education,Orthoptic counselling and education,1/7/1998,1/7/2000
213,"Revision procedures on retina, choroid or posterior chamber","Revision proc retina/choroid/post cham",1/7/1998,
2130,Orthoptic case management or discharge planning,"Orthoptic case mgmt/discharge planning",1/7/1998,1/7/2000
2131,Other orthoptic interventions,Other orthoptic interventions,1/7/1998,1/7/2000
2132,Prosthetic and orthotic diagnostic assessment and evaluation,Prosthetic & orthotic dx assess & evaln,1/7/1998,1/7/2000
2133,Therapeutic prosthetic or orthotic interventions,"Therapeutic prosthetic/orthotic intervtn",1/7/1998,1/7/2000
2134,Education regarding prosthesis or orthosis,"Education regarding prosthesis/orthosis",1/7/1998,1/7/2000
2135,Other prosthetic or orthotic intervention,"Other prosthetic/orthotic intervention",1/7/1998,1/7/2000
2136,Pharmaceutical assessment and evaluation,Pharmaceutical assessment & evaluation,1/7/1998,1/7/2000
2137,Pharmaceutical therapeutic interventions,Pharmaceutical therapeutic interventions,1/7/1998,1/7/2000
2138,Pharmaceutical counselling and education,Pharmaceutical counselling & education,1/7/1998,1/7/2000
2139,Other pharmaceutical intervention,Other pharmaceutical intervention,1/7/1998,1/7/2000
214,"Other procedures on retina, choroid or posterior chamber","Other proc on retina/choroid/post cham",1/7/1998,
2140,Generalised allied health interventions,Generalised allied health interventions,1/7/1998,1/7/2000
215,Excision procedures on extraocular muscle,Excision proc on extraocular muscle,1/7/1998,
216,Procedures for strabismus,Procedures for strabismus,1/7/1998,
217,Other repair of extraocular muscle,Other repair of extraocular muscle,1/7/1998,
218,Revision procedures on extraocular muscle,Revision proc on extraocular muscle,1/7/1998,
219,Reoperation procedures on extraocular muscle,Reoperation proc on extraocular muscle,1/7/1998,
22,Other repair of meninges or brain,Other repair of meninges or brain,1/7/1998,
220,Other procedures on extraocular muscle or tendon,"Other proc on extraocular muscle/tendon",1/7/1998,
221,"Application, insertion or removal procedures on orbit","Applicn, ins or removal proc on orbit",1/7/1998,
222,Orbitotomy,Orbitotomy,1/7/1998,
223,Other incision procedures on orbit,Other incision procedures on orbit,1/7/1998,
224,Orbitotomy with biopsy or excision,Orbitotomy with biopsy or excision,1/7/1998,
225,Exenteration of orbit,Exenteration of orbit,1/7/1998,
226,Other excision procedures on orbit,Other excision procedures on orbit,1/7/1998,
227,Orbitotomy with removal and replacement of bone,Orbitotomy w removal & replacement bone,1/7/1998,
228,Other repair procedures on orbit,Other repair procedures on orbit,1/7/1998,
229,Other procedures on orbit,Other procedures on orbit,1/7/1998,
23,Cranioplasty,Cranioplasty,1/7/1998,
230,"Application, insertion or removal procedures on eyelid","Applicn/insertion/removal proc on eyelid",1/7/1998,
231,Incision procedures on eyelid,Incision procedures on eyelid,1/7/1998,
232,Biopsy of eyelid,Biopsy of eyelid,1/7/1998,
233,Other excision procedures on eyelid,Other excision procedures on eyelid,1/7/1998,
234,Graft to eyelid,Graft to eyelid,1/7/1998,
235,Canthoplasty,Canthoplasty,1/7/1998,
236,Other repair procedures on eyelid,Other repair procedures on eyelid,1/7/1998,
237,Reconstruction procedure on eyelid,Reconstruction procedure on eyelid,1/7/1998,1/7/2019
238,Procedures for correction of trichiasis,Procedures for correction of trichiasis,1/7/1998,
239,Procedures for ectropion or entropion,Procedures for ectropion or entropion,1/7/1998,
24,Revision of intracranial cerebrospinal fluid shunt,Revision of intracranial CSF shunt,1/7/1998,
240,Other procedures on eyelid,Other procedures on eyelid,1/7/1998,
241,Probing of lacrimal passages,Probing of lacrimal passages,1/7/1998,
242,"Insertion, replacement or removal of nasolacrimal tube","Insertion, replace R/O nasolacrimal tube",1/7/1998,
243,"Other application, insertion or removal procedures on lacrimal system","Oth applicn, ins, R/O proc, lacrimal sys",1/7/1998,
244,Incision procedures on lacrimal system,Incision procedures on lacrimal system,1/7/1998,
245,Destruction procedures on lacrimal system,Destruction proc on lacrimal system,1/7/1998,
246,Excision procedures on lacrimal system,Excision proc on lacrimal system,1/7/1998,
247,Repair procedures on lacrimal system,Repair procedures on lacrimal system,1/7/1998,
248,Reoperation procedures on lacrimal passages,Reoperation proc on lacrimal passages,1/7/1998,
249,Procedures for establishment of lacrimal patency,Procedures for est of lacrimal patency,1/7/1998,
25,Procedures for skull fracture,Procedures for skull fracture,1/7/1998,
250,Other procedures on lacrimal system,Other procedures on lacrimal system,1/7/1998,
251,"Application, insertion or removal procedures on conjunctiva","Applicn/ins/removal proc on conjunctiva",1/7/1998,
252,Incision procedures on conjunctiva,Incision procedures on conjunctiva,1/7/1998,
253,Destruction procedures on conjunctiva,Destruction procedures on conjunctiva,1/7/1998,
254,Excision procedures on conjunctiva,Excision procedures on conjunctiva,1/7/1998,
255,Repair procedures on conjunctiva,Repair procedures on conjunctiva,1/7/1998,
256,Other procedures on conjunctiva,Other procedures on conjunctiva,1/7/1998,
26,Procedures for epilepsy,Procedures for epilepsy,1/7/1998,1/7/2002
27,Functional intracranial stereotactic procedure,Functional intrcran stereotactic proc,1/7/1998,
28,"Other procedures on skull, meninges or brain","Other proc on skull, meninges or brain",1/7/1998,
29,Examination of spinal canal and spinal cord structures,Exam spinal cord & spin cord structures,1/7/1998,
3,Insertion of intracranial cerebrospinal fluid devices,Insertion of intracranial CSF devices,1/7/1998,
30,Lumbar puncture,Lumbar puncture,1/7/1998,
300,Examination procedures on external ear,Examination procedures on external ear,1/7/1998,
301,"Application, insertion or removal procedures on external ear","Applicn/ins/removal proc on external ear",1/7/1998,
302,Incision procedures on auditory canal,Incision procedures on auditory canal,1/7/1998,
303,Excision procedures on external ear,Excision procedures on external ear,1/7/1998,
304,Repair procedures on external ear,Repair procedures on external ear,1/7/1998,
305,Reconstruction procedures on external ear,Reconstruction proc on external ear,1/7/1998,
